stage,trial,time,position.x,position.y,position.z,rotation.x,rotation.y,rotation.z,rotation.w,event
1,1,0.001,0.08308576,0.9151916,-1.143045,-0.1116551,-0.5284571,0.3104757,0.7822219,TrialStart
1,1,0.003,0.08308576,0.9151916,-1.143045,-0.1116551,-0.5284571,0.3104757,0.7822219,
1,1,0.005,0.08308576,0.9151916,-1.143045,-0.1116551,-0.5284571,0.3104757,0.7822219,
1,1,0.007,0.08308576,0.9151916,-1.143045,-0.1116551,-0.5284571,0.3104757,0.7822219,
1,1,0.009,0.08308576,0.9151916,-1.143045,-0.1116551,-0.5284571,0.3104757,0.7822219,
1,1,0.011,0.08308576,0.9151916,-1.143045,-0.1116551,-0.5284571,0.3104757,0.7822219,
1,1,0.013,0.08308576,0.9151916,-1.143045,-0.1116551,-0.5284571,0.3104757,0.7822219,
1,1,0.015,0.08308576,0.9151916,-1.143045,-0.1116551,-0.5284571,0.3104757,0.7822219,
1,1,0.017,0.08308576,0.9151916,-1.143045,-0.1116551,-0.5284571,0.3104757,0.7822219,
1,1,0.019,0.08308576,0.9151916,-1.143045,-0.1116551,-0.5284571,0.3104757,0.7822219,
1,1,0.021,0.3330271,0.8650146,-1.190293,0.02396686,-0.3286907,0.94046,0.08320597,
1,1,0.023,0.3330271,0.8650146,-1.190293,0.02396686,-0.3286907,0.94046,0.08320597,
1,1,0.025,0.3330271,0.8650146,-1.190293,0.02396686,-0.3286907,0.94046,0.08320597,
1,1,0.027,0.3330271,0.8650146,-1.190293,0.02396686,-0.3286907,0.94046,0.08320597,
1,1,0.029,0.3392817,0.8660937,-1.18844,0.06091851,-0.3020602,0.9488625,0.06861931,
1,1,0.031,0.3392817,0.8660937,-1.18844,0.06091851,-0.3020602,0.9488625,0.06861931,
1,1,0.033,0.3392817,0.8660937,-1.18844,0.06091851,-0.3020602,0.9488625,0.06861931,
1,1,0.035,0.3392817,0.8660937,-1.18844,0.06091851,-0.3020602,0.9488625,0.06861931,
1,1,0.037,0.341281,0.865823,-1.186651,0.06380795,-0.2956692,0.9506558,0.06900644,
1,1,0.039,0.341281,0.865823,-1.186651,0.06380795,-0.2956692,0.9506558,0.06900644,
1,1,0.041,0.341281,0.865823,-1.186651,0.06380795,-0.2956692,0.9506558,0.06900644,
1,1,0.043,0.341281,0.865823,-1.186651,0.06380795,-0.2956692,0.9506558,0.06900644,
1,1,0.045,0.342123,0.865344,-1.185221,0.06748837,-0.2907079,0.9519866,0.06823459,
1,1,0.047,0.342123,0.865344,-1.185221,0.06748837,-0.2907079,0.9519866,0.06823459,
1,1,0.049,0.342123,0.865344,-1.185221,0.06748837,-0.2907079,0.9519866,0.06823459,
1,1,0.051,0.342123,0.865344,-1.185221,0.06748837,-0.2907079,0.9519866,0.06823459,
1,1,0.053,0.342123,0.865344,-1.185221,0.06748837,-0.2907079,0.9519866,0.06823459,
1,1,0.055,0.3435054,0.8643387,-1.182481,0.06910273,-0.282899,0.9541517,0.06919312,
1,1,0.057,0.3435054,0.8643387,-1.182481,0.06910273,-0.282899,0.9541517,0.06919312,
1,1,0.059,0.3435054,0.8643387,-1.182481,0.06910273,-0.282899,0.9541517,0.06919312,
1,1,0.061,0.3435054,0.8643387,-1.182481,0.06910273,-0.282899,0.9541517,0.06919312,
1,1,0.063,0.3447846,0.8625768,-1.179015,0.06821324,-0.2762921,0.9559834,0.07145137,
1,1,0.065,0.3447846,0.8625768,-1.179015,0.06821324,-0.2762921,0.9559834,0.07145137,
1,1,0.067,0.3447846,0.8625768,-1.179015,0.06821324,-0.2762921,0.9559834,0.07145137,
1,1,0.069,0.3447846,0.8625768,-1.179015,0.06821324,-0.2762921,0.9559834,0.07145137,
1,1,0.071,0.3450719,0.86176,-1.177206,0.06739369,-0.2724737,0.9570451,0.07266927,
1,1,0.073,0.3450719,0.86176,-1.177206,0.06739369,-0.2724737,0.9570451,0.07266927,
1,1,0.075,0.3450719,0.86176,-1.177206,0.06739369,-0.2724737,0.9570451,0.07266927,
1,1,0.077,0.3450719,0.86176,-1.177206,0.06739369,-0.2724737,0.9570451,0.07266927,
1,1,0.079,0.3452798,0.8609414,-1.175515,0.06644674,-0.2685039,0.9581256,0.07406613,
1,1,0.081,0.3452798,0.8609414,-1.175515,0.06644674,-0.2685039,0.9581256,0.07406613,
1,1,0.083,0.3452798,0.8609414,-1.175515,0.06644674,-0.2685039,0.9581256,0.07406613,
1,1,0.085,0.3452798,0.8609414,-1.175515,0.06644674,-0.2685039,0.9581256,0.07406613,
1,1,0.087,0.3455461,0.8597154,-1.173308,0.06628774,-0.2648219,0.9590568,0.07540137,
1,1,0.089,0.3455461,0.8597154,-1.173308,0.06628774,-0.2648219,0.9590568,0.07540137,
1,1,0.091,0.3455461,0.8597154,-1.173308,0.06628774,-0.2648219,0.9590568,0.07540137,
1,1,0.093,0.3455461,0.8597154,-1.173308,0.06628774,-0.2648219,0.9590568,0.07540137,
1,1,0.095,0.3464574,0.8577585,-1.169713,0.06347357,-0.2584253,0.9606617,0.07947674,
1,1,0.097,0.3464574,0.8577585,-1.169713,0.06347357,-0.2584253,0.9606617,0.07947674,
1,1,0.099,0.3464574,0.8577585,-1.169713,0.06347357,-0.2584253,0.9606617,0.07947674,
1,1,0.101,0.3464574,0.8577585,-1.169713,0.06347357,-0.2584253,0.9606617,0.07947674,
1,1,0.103,0.3464574,0.8577585,-1.169713,0.06347357,-0.2584253,0.9606617,0.07947674,
1,1,0.105,0.3469036,0.8567062,-1.167704,0.06286046,-0.2552632,0.961378,0.08149675,
1,1,0.107,0.3469036,0.8567062,-1.167704,0.06286046,-0.2552632,0.961378,0.08149675,
1,1,0.109,0.3469036,0.8567062,-1.167704,0.06286046,-0.2552632,0.961378,0.08149675,
1,1,0.111,0.3469036,0.8567062,-1.167704,0.06286046,-0.2552632,0.961378,0.08149675,
1,1,0.113,0.3467151,0.8555032,-1.165171,0.06147082,-0.252527,0.9620357,0.08329928,
1,1,0.115,0.3467151,0.8555032,-1.165171,0.06147082,-0.252527,0.9620357,0.08329928,
1,1,0.117,0.3467151,0.8555032,-1.165171,0.06147082,-0.252527,0.9620357,0.08329928,
1,1,0.119,0.3467151,0.8555032,-1.165171,0.06147082,-0.252527,0.9620357,0.08329928,
1,1,0.121,0.3467693,0.8545122,-1.163038,0.06053461,-0.2493853,0.9627399,0.08529121,
1,1,0.123,0.3467693,0.8545122,-1.163038,0.06053461,-0.2493853,0.9627399,0.08529121,
1,1,0.125,0.3467693,0.8545122,-1.163038,0.06053461,-0.2493853,0.9627399,0.08529121,
1,1,0.127,0.3469054,0.8534361,-1.160792,0.06006689,-0.2465451,0.9633088,0.08742937,
1,1,0.129,0.3469054,0.8534361,-1.160792,0.06006689,-0.2465451,0.9633088,0.08742937,
1,1,0.131,0.3469054,0.8534361,-1.160792,0.06006689,-0.2465451,0.9633088,0.08742937,
1,1,0.133,0.3469054,0.8534361,-1.160792,0.06006689,-0.2465451,0.9633088,0.08742937,
1,1,0.135,0.3469054,0.8534361,-1.160792,0.06006689,-0.2465451,0.9633088,0.08742937,
1,1,0.137,0.3467523,0.8521547,-1.158419,0.06101175,-0.2432608,0.9639268,0.08914566,
1,1,0.139,0.3467523,0.8521547,-1.158419,0.06101175,-0.2432608,0.9639268,0.08914566,
1,1,0.141,0.3467523,0.8521547,-1.158419,0.06101175,-0.2432608,0.9639268,0.08914566,
1,1,0.143,0.3467523,0.8521547,-1.158419,0.06101175,-0.2432608,0.9639268,0.08914566,
1,1,0.145,0.3464625,0.8509976,-1.156043,0.06208807,-0.2399312,0.9645221,0.09096763,
1,1,0.147,0.3464625,0.8509976,-1.156043,0.06208807,-0.2399312,0.9645221,0.09096763,
1,1,0.149,0.3464625,0.8509976,-1.156043,0.06208807,-0.2399312,0.9645221,0.09096763,
1,1,0.151,0.3464625,0.8509976,-1.156043,0.06208807,-0.2399312,0.9645221,0.09096763,
1,1,0.153,0.3466102,0.8489732,-1.152392,0.06412238,-0.2349346,0.9652612,0.09468338,
1,1,0.155,0.3466102,0.8489732,-1.152392,0.06412238,-0.2349346,0.9652612,0.09468338,
1,1,0.157,0.3466102,0.8489732,-1.152392,0.06412238,-0.2349346,0.9652612,0.09468338,
1,1,0.159,0.3466102,0.8489732,-1.152392,0.06412238,-0.2349346,0.9652612,0.09468338,
1,1,0.161,0.3461944,0.8477523,-1.150209,0.06594986,-0.2313077,0.9658271,0.0965682,
1,1,0.163,0.3461944,0.8477523,-1.150209,0.06594986,-0.2313077,0.9658271,0.0965682,
1,1,0.165,0.3461944,0.8477523,-1.150209,0.06594986,-0.2313077,0.9658271,0.0965682,
1,1,0.167,0.3461944,0.8477523,-1.150209,0.06594986,-0.2313077,0.9658271,0.0965682,
1,1,0.169,0.3458298,0.8466103,-1.148087,0.06768149,-0.2283874,0.9662234,0.09833986,
1,1,0.171,0.3458298,0.8466103,-1.148087,0.06768149,-0.2283874,0.9662234,0.09833986,
1,1,0.173,0.3458298,0.8466103,-1.148087,0.06768149,-0.2283874,0.9662234,0.09833986,
1,1,0.175,0.3458298,0.8466103,-1.148087,0.06768149,-0.2283874,0.9662234,0.09833986,
1,1,0.177,0.3451583,0.8444298,-1.144046,0.07200734,-0.2240047,0.9666123,0.1014772,
1,1,0.179,0.3451583,0.8444298,-1.144046,0.07200734,-0.2240047,0.9666123,0.1014772,
1,1,0.181,0.3451583,0.8444298,-1.144046,0.07200734,-0.2240047,0.9666123,0.1014772,
1,1,0.183,0.3451583,0.8444298,-1.144046,0.07200734,-0.2240047,0.9666123,0.1014772,
1,1,0.185,0.3443496,0.8432014,-1.141735,0.07644285,-0.2205676,0.9669052,0.1029602,
1,1,0.187,0.3443496,0.8432014,-1.141735,0.07644285,-0.2205676,0.9669052,0.1029602,
1,1,0.189,0.3443496,0.8432014,-1.141735,0.07644285,-0.2205676,0.9669052,0.1029602,
1,1,0.191,0.3443496,0.8432014,-1.141735,0.07644285,-0.2205676,0.9669052,0.1029602,
1,1,0.193,0.3437014,0.84113,-1.13804,0.08352663,-0.2163716,0.9669541,0.1058611,
1,1,0.195,0.3437014,0.84113,-1.13804,0.08352663,-0.2163716,0.9669541,0.1058611,
1,1,0.197,0.3437014,0.84113,-1.13804,0.08352663,-0.2163716,0.9669541,0.1058611,
1,1,0.199,0.3437014,0.84113,-1.13804,0.08352663,-0.2163716,0.9669541,0.1058611,
1,1,0.201,0.3437014,0.84113,-1.13804,0.08352663,-0.2163716,0.9669541,0.1058611,
1,1,0.203,0.3429364,0.8397192,-1.135612,0.08876881,-0.2132966,0.966979,0.1075927,
1,1,0.205,0.3429364,0.8397192,-1.135612,0.08876881,-0.2132966,0.966979,0.1075927,
1,1,0.207,0.3429364,0.8397192,-1.135612,0.08876881,-0.2132966,0.966979,0.1075927,
1,1,0.209,0.3429364,0.8397192,-1.135612,0.08876881,-0.2132966,0.966979,0.1075927,
1,1,0.211,0.3419582,0.8387352,-1.133529,0.09273936,-0.2106158,0.9670264,0.1090893,
1,1,0.213,0.3419582,0.8387352,-1.133529,0.09273936,-0.2106158,0.9670264,0.1090893,
1,1,0.215,0.3419582,0.8387352,-1.133529,0.09273936,-0.2106158,0.9670264,0.1090893,
1,1,0.217,0.3419582,0.8387352,-1.133529,0.09273936,-0.2106158,0.9670264,0.1090893,
1,1,0.219,0.3412513,0.8378016,-1.131708,0.09636211,-0.2082226,0.9670143,0.1106389,
1,1,0.221,0.3412513,0.8378016,-1.131708,0.09636211,-0.2082226,0.9670143,0.1106389,
1,1,0.223,0.3412513,0.8378016,-1.131708,0.09636211,-0.2082226,0.9670143,0.1106389,
1,1,0.225,0.3412513,0.8378016,-1.131708,0.09636211,-0.2082226,0.9670143,0.1106389,
1,1,0.227,0.3403201,0.836805,-1.129665,0.1000205,-0.2059748,0.9669529,0.1121265,
1,1,0.229,0.3403201,0.836805,-1.129665,0.1000205,-0.2059748,0.9669529,0.1121265,
1,1,0.231,0.3403201,0.836805,-1.129665,0.1000205,-0.2059748,0.9669529,0.1121265,
1,1,0.233,0.3403201,0.836805,-1.129665,0.1000205,-0.2059748,0.9669529,0.1121265,
1,1,0.235,0.3392339,0.8360101,-1.127963,0.1033877,-0.2034424,0.9669564,0.1136549,
1,1,0.237,0.3392339,0.8360101,-1.127963,0.1033877,-0.2034424,0.9669564,0.1136549,
1,1,0.239,0.3392339,0.8360101,-1.127963,0.1033877,-0.2034424,0.9669564,0.1136549,
1,1,0.241,0.3392339,0.8360101,-1.127963,0.1033877,-0.2034424,0.9669564,0.1136549,
1,1,0.243,0.3376135,0.8341395,-1.124315,0.1099942,-0.1991765,0.9666999,0.1171387,
1,1,0.245,0.3376135,0.8341395,-1.124315,0.1099942,-0.1991765,0.9666999,0.1171387,
1,1,0.247,0.3376135,0.8341395,-1.124315,0.1099942,-0.1991765,0.9666999,0.1171387,
1,1,0.249,0.3376135,0.8341395,-1.124315,0.1099942,-0.1991765,0.9666999,0.1171387,
1,1,0.251,0.3363938,0.8332641,-1.122652,0.1136927,-0.1960763,0.9666319,0.119377,
1,1,0.253,0.3363938,0.8332641,-1.122652,0.1136927,-0.1960763,0.9666319,0.119377,
1,1,0.255,0.3363938,0.8332641,-1.122652,0.1136927,-0.1960763,0.9666319,0.119377,
1,1,0.257,0.3363938,0.8332641,-1.122652,0.1136927,-0.1960763,0.9666319,0.119377,
1,1,0.259,0.3351933,0.8323845,-1.121056,0.1163311,-0.1928567,0.9666672,0.1217694,
1,1,0.261,0.3351933,0.8323845,-1.121056,0.1163311,-0.1928567,0.9666672,0.1217694,
1,1,0.263,0.3351933,0.8323845,-1.121056,0.1163311,-0.1928567,0.9666672,0.1217694,
1,1,0.265,0.3351933,0.8323845,-1.121056,0.1163311,-0.1928567,0.9666672,0.1217694,
1,1,0.267,0.3338925,0.8309966,-1.117649,0.1199058,-0.1892452,0.9664159,0.1258939,
1,1,0.269,0.3338925,0.8309966,-1.117649,0.1199058,-0.1892452,0.9664159,0.1258939,
1,1,0.271,0.3338925,0.8309966,-1.117649,0.1199058,-0.1892452,0.9664159,0.1258939,
1,1,0.273,0.3338925,0.8309966,-1.117649,0.1199058,-0.1892452,0.9664159,0.1258939,
1,1,0.275,0.3338925,0.8309966,-1.117649,0.1199058,-0.1892452,0.9664159,0.1258939,
1,1,0.277,0.3330126,0.8302499,-1.115791,0.1212308,-0.1871994,0.966327,0.1283419,
1,1,0.279,0.3330126,0.8302499,-1.115791,0.1212308,-0.1871994,0.966327,0.1283419,
1,1,0.281,0.3330126,0.8302499,-1.115791,0.1212308,-0.1871994,0.966327,0.1283419,
1,1,0.283,0.3330126,0.8302499,-1.115791,0.1212308,-0.1871994,0.966327,0.1283419,
1,1,0.285,0.3311485,0.8287649,-1.112748,0.1232554,-0.182366,0.9662508,0.1338292,
1,1,0.287,0.3311485,0.8287649,-1.112748,0.1232554,-0.182366,0.9662508,0.1338292,
1,1,0.289,0.3311485,0.8287649,-1.112748,0.1232554,-0.182366,0.9662508,0.1338292,
1,1,0.291,0.3311485,0.8287649,-1.112748,0.1232554,-0.182366,0.9662508,0.1338292,
1,1,0.293,0.3303196,0.82791,-1.111023,0.1240243,-0.1802297,0.9661252,0.1368847,
1,1,0.295,0.3303196,0.82791,-1.111023,0.1240243,-0.1802297,0.9661252,0.1368847,
1,1,0.297,0.3303196,0.82791,-1.111023,0.1240243,-0.1802297,0.9661252,0.1368847,
1,1,0.299,0.3303196,0.82791,-1.111023,0.1240243,-0.1802297,0.9661252,0.1368847,
1,1,0.301,0.3297107,0.8272439,-1.109671,0.1245059,-0.1783038,0.9659957,0.1398513,
1,1,0.303,0.3297107,0.8272439,-1.109671,0.1245059,-0.1783038,0.9659957,0.1398513,
1,1,0.305,0.3297107,0.8272439,-1.109671,0.1245059,-0.1783038,0.9659957,0.1398513,
1,1,0.307,0.3297107,0.8272439,-1.109671,0.1245059,-0.1783038,0.9659957,0.1398513,
1,1,0.309,0.3289269,0.8264502,-1.107848,0.1241955,-0.1771248,0.9658295,0.142744,
1,1,0.311,0.3289269,0.8264502,-1.107848,0.1241955,-0.1771248,0.9658295,0.142744,
1,1,0.313,0.3289269,0.8264502,-1.107848,0.1241955,-0.1771248,0.9658295,0.142744,
1,1,0.315,0.3289269,0.8264502,-1.107848,0.1241955,-0.1771248,0.9658295,0.142744,
1,1,0.317,0.3280787,0.8259288,-1.106467,0.123723,-0.1755222,0.9657532,0.1456204,
1,1,0.319,0.3280787,0.8259288,-1.106467,0.123723,-0.1755222,0.9657532,0.1456204,
1,1,0.321,0.3280787,0.8259288,-1.106467,0.123723,-0.1755222,0.9657532,0.1456204,
1,1,0.323,0.3280787,0.8259288,-1.106467,0.123723,-0.1755222,0.9657532,0.1456204,
1,1,0.325,0.3272169,0.8251812,-1.105023,0.1228169,-0.174175,0.9656945,0.1483681,
1,1,0.327,0.3272169,0.8251812,-1.105023,0.1228169,-0.174175,0.9656945,0.1483681,
1,1,0.329,0.3272169,0.8251812,-1.105023,0.1228169,-0.174175,0.9656945,0.1483681,
1,1,0.331,0.3272169,0.8251812,-1.105023,0.1228169,-0.174175,0.9656945,0.1483681,
1,1,0.333,0.3257213,0.8236073,-1.101423,0.121139,-0.1726001,0.9652526,0.1543444,
1,1,0.335,0.3257213,0.8236073,-1.101423,0.121139,-0.1726001,0.9652526,0.1543444,
1,1,0.337,0.3257213,0.8236073,-1.101423,0.121139,-0.1726001,0.9652526,0.1543444,
1,1,0.339,0.3257213,0.8236073,-1.101423,0.121139,-0.1726001,0.9652526,0.1543444,
1,1,0.341,0.3249342,0.8230009,-1.100045,0.1196835,-0.1718815,0.9650661,0.1574169,
1,1,0.343,0.3249342,0.8230009,-1.100045,0.1196835,-0.1718815,0.9650661,0.1574169,
1,1,0.345,0.3249342,0.8230009,-1.100045,0.1196835,-0.1718815,0.9650661,0.1574169,
1,1,0.347,0.3249342,0.8230009,-1.100045,0.1196835,-0.1718815,0.9650661,0.1574169,
1,1,0.349,0.3249342,0.8230009,-1.100045,0.1196835,-0.1718815,0.9650661,0.1574169,
1,1,0.351,0.3236522,0.8216608,-1.097423,0.1154582,-0.1716259,0.9647374,0.1627753,
1,1,0.353,0.3236522,0.8216608,-1.097423,0.1154582,-0.1716259,0.9647374,0.1627753,
1,1,0.355,0.3236522,0.8216608,-1.097423,0.1154582,-0.1716259,0.9647374,0.1627753,
1,1,0.357,0.3236522,0.8216608,-1.097423,0.1154582,-0.1716259,0.9647374,0.1627753,
1,1,0.359,0.3229581,0.8209794,-1.09628,0.1134268,-0.1713941,0.9644676,0.166014,
1,1,0.361,0.3229581,0.8209794,-1.09628,0.1134268,-0.1713941,0.9644676,0.166014,
1,1,0.363,0.3229581,0.8209794,-1.09628,0.1134268,-0.1713941,0.9644676,0.166014,
1,1,0.365,0.3229581,0.8209794,-1.09628,0.1134268,-0.1713941,0.9644676,0.166014,
1,1,0.367,0.322179,0.820419,-1.095319,0.1115738,-0.1712975,0.964044,0.1697868,
1,1,0.369,0.322179,0.820419,-1.095319,0.1115738,-0.1712975,0.964044,0.1697868,
1,1,0.371,0.322179,0.820419,-1.095319,0.1115738,-0.1712975,0.964044,0.1697868,
1,1,0.373,0.322179,0.820419,-1.095319,0.1115738,-0.1712975,0.964044,0.1697868,
1,1,0.375,0.3214092,0.8191411,-1.093281,0.1084952,-0.1733324,0.9630417,0.1753149,
1,1,0.377,0.3214092,0.8191411,-1.093281,0.1084952,-0.1733324,0.9630417,0.1753149,
1,1,0.379,0.3214092,0.8191411,-1.093281,0.1084952,-0.1733324,0.9630417,0.1753149,
1,1,0.381,0.3214092,0.8191411,-1.093281,0.1084952,-0.1733324,0.9630417,0.1753149,
1,1,0.383,0.3210641,0.8184322,-1.092213,0.1073803,-0.1750705,0.9623164,0.1782329,
1,1,0.385,0.3210641,0.8184322,-1.092213,0.1073803,-0.1750705,0.9623164,0.1782329,
1,1,0.387,0.3210641,0.8184322,-1.092213,0.1073803,-0.1750705,0.9623164,0.1782329,
1,1,0.389,0.3210641,0.8184322,-1.092213,0.1073803,-0.1750705,0.9623164,0.1782329,
1,1,0.391,0.3206897,0.8177417,-1.091453,0.1062113,-0.1771199,0.9615246,0.181158,
1,1,0.393,0.3206897,0.8177417,-1.091453,0.1062113,-0.1771199,0.9615246,0.181158,
1,1,0.395,0.3206897,0.8177417,-1.091453,0.1062113,-0.1771199,0.9615246,0.181158,
1,1,0.397,0.3206897,0.8177417,-1.091453,0.1062113,-0.1771199,0.9615246,0.181158,
1,1,0.399,0.3206897,0.8177417,-1.091453,0.1062113,-0.1771199,0.9615246,0.181158,
1,1,0.401,0.3205227,0.8166895,-1.090433,0.1052936,-0.1804448,0.9603617,0.1845491,
1,1,0.403,0.3205227,0.8166895,-1.090433,0.1052936,-0.1804448,0.9603617,0.1845491,
1,1,0.405,0.3205227,0.8166895,-1.090433,0.1052936,-0.1804448,0.9603617,0.1845491,
1,1,0.407,0.3205822,0.8154263,-1.088866,0.1044849,-0.1847019,0.9591168,0.1872513,
1,1,0.409,0.3205822,0.8154263,-1.088866,0.1044849,-0.1847019,0.9591168,0.1872513,
1,1,0.411,0.3205822,0.8154263,-1.088866,0.1044849,-0.1847019,0.9591168,0.1872513,
1,1,0.413,0.3205822,0.8154263,-1.088866,0.1044849,-0.1847019,0.9591168,0.1872513,
1,1,0.415,0.3205822,0.8154263,-1.088866,0.1044849,-0.1847019,0.9591168,0.1872513,
1,1,0.417,0.3205404,0.8144081,-1.088005,0.1033389,-0.1891037,0.9577402,0.1905118,
1,1,0.419,0.3205404,0.8144081,-1.088005,0.1033389,-0.1891037,0.9577402,0.1905118,
1,1,0.421,0.3205404,0.8144081,-1.088005,0.1033389,-0.1891037,0.9577402,0.1905118,
1,1,0.423,0.3205404,0.8144081,-1.088005,0.1033389,-0.1891037,0.9577402,0.1905118,
1,1,0.425,0.3205245,0.8134232,-1.087114,0.1021972,-0.1937914,0.9564176,0.1930444,
1,1,0.427,0.3205245,0.8134232,-1.087114,0.1021972,-0.1937914,0.9564176,0.1930444,
1,1,0.429,0.3205245,0.8134232,-1.087114,0.1021972,-0.1937914,0.9564176,0.1930444,
1,1,0.431,0.3205245,0.8134232,-1.087114,0.1021972,-0.1937914,0.9564176,0.1930444,
1,1,0.433,0.3206569,0.8113071,-1.085138,0.1000766,-0.2048059,0.9534383,0.1974708,
1,1,0.435,0.3206569,0.8113071,-1.085138,0.1000766,-0.2048059,0.9534383,0.1974708,
1,1,0.437,0.3206569,0.8113071,-1.085138,0.1000766,-0.2048059,0.9534383,0.1974708,
1,1,0.439,0.3206569,0.8113071,-1.085138,0.1000766,-0.2048059,0.9534383,0.1974708,
1,1,0.441,0.3206986,0.8102042,-1.084137,0.09895927,-0.2113496,0.9516889,0.1995665,
1,1,0.443,0.3206986,0.8102042,-1.084137,0.09895927,-0.2113496,0.9516889,0.1995665,
1,1,0.445,0.3206986,0.8102042,-1.084137,0.09895927,-0.2113496,0.9516889,0.1995665,
1,1,0.447,0.3206986,0.8102042,-1.084137,0.09895927,-0.2113496,0.9516889,0.1995665,
1,1,0.449,0.3207525,0.8090451,-1.082952,0.09737116,-0.218278,0.949887,0.2014654,
1,1,0.451,0.3207525,0.8090451,-1.082952,0.09737116,-0.218278,0.949887,0.2014654,
1,1,0.453,0.3207525,0.8090451,-1.082952,0.09737116,-0.218278,0.949887,0.2014654,
1,1,0.455,0.3207525,0.8090451,-1.082952,0.09737116,-0.218278,0.949887,0.2014654,
1,1,0.457,0.320816,0.8078719,-1.081954,0.09556887,-0.2256126,0.9480165,0.2030524,
1,1,0.459,0.320816,0.8078719,-1.081954,0.09556887,-0.2256126,0.9480165,0.2030524,
1,1,0.461,0.320816,0.8078719,-1.081954,0.09556887,-0.2256126,0.9480165,0.2030524,
1,1,0.463,0.320816,0.8078719,-1.081954,0.09556887,-0.2256126,0.9480165,0.2030524,
1,1,0.465,0.3207595,0.8068088,-1.081383,0.09326912,-0.2333306,0.946021,0.2047,
1,1,0.467,0.3207595,0.8068088,-1.081383,0.09326912,-0.2333306,0.946021,0.2047,
1,1,0.469,0.3207595,0.8068088,-1.081383,0.09326912,-0.2333306,0.946021,0.2047,
1,1,0.471,0.3207595,0.8068088,-1.081383,0.09326912,-0.2333306,0.946021,0.2047,
1,1,0.473,0.3204852,0.8061293,-1.081156,0.09027551,-0.2406118,0.9442314,0.2058722,
1,1,0.475,0.3204852,0.8061293,-1.081156,0.09027551,-0.2406118,0.9442314,0.2058722,
1,1,0.477,0.3204852,0.8061293,-1.081156,0.09027551,-0.2406118,0.9442314,0.2058722,
1,1,0.479,0.3204852,0.8061293,-1.081156,0.09027551,-0.2406118,0.9442314,0.2058722,
1,1,0.481,0.3204852,0.8061293,-1.081156,0.09027551,-0.2406118,0.9442314,0.2058722,
1,1,0.483,0.3201405,0.8054163,-1.080925,0.08662193,-0.2482507,0.9423745,0.2068786,
1,1,0.485,0.3201405,0.8054163,-1.080925,0.08662193,-0.2482507,0.9423745,0.2068786,
1,1,0.487,0.3201405,0.8054163,-1.080925,0.08662193,-0.2482507,0.9423745,0.2068786,
1,1,0.489,0.3201405,0.8054163,-1.080925,0.08662193,-0.2482507,0.9423745,0.2068786,
1,1,0.491,0.3199151,0.8046019,-1.080671,0.08307308,-0.2561654,0.9403957,0.2076875,
