stage,trial,time,position.x,position.y,position.z,rotation.x,rotation.y,rotation.z,rotation.w,event
1,1,0.001,-0.2481352,0.0393483,-0.8849546,0.5085151,-0.5037121,0.4950108,0.4925961,TrialStart
1,1,0.003,-0.2481352,0.0393483,-0.8849546,0.5085151,-0.5037121,0.4950108,0.4925961,
1,1,0.005,-0.2481352,0.0393483,-0.8849546,0.5085151,-0.5037121,0.4950108,0.4925961,
1,1,0.007,-0.2481352,0.0393483,-0.8849546,0.5085151,-0.5037121,0.4950108,0.4925961,
1,1,0.009,-0.2481352,0.0393483,-0.8849546,0.5085151,-0.5037121,0.4950108,0.4925961,
1,1,0.011,-0.2481352,0.0393483,-0.8849546,0.5085151,-0.5037121,0.4950108,0.4925961,
1,1,0.013,-0.2481352,0.0393483,-0.8849546,0.5085151,-0.5037121,0.4950108,0.4925961,
1,1,0.015,-0.2481352,0.0393483,-0.8849546,0.5085151,-0.5037121,0.4950108,0.4925961,
1,1,0.017,-0.2481352,0.0393483,-0.8849546,0.5085151,-0.5037121,0.4950108,0.4925961,
1,1,0.019,-0.2481352,0.0393483,-0.8849546,0.5085151,-0.5037121,0.4950108,0.4925961,
1,1,0.021,-0.2481297,0.03933699,-0.8849564,0.5085245,-0.5037242,0.4949987,0.4925862,
1,1,0.023,-0.2481297,0.03933699,-0.8849564,0.5085245,-0.5037242,0.4949987,0.4925862,
1,1,0.025,-0.2481297,0.03933699,-0.8849564,0.5085245,-0.5037242,0.4949987,0.4925862,
1,1,0.027,-0.2481297,0.03933699,-0.8849564,0.5085245,-0.5037242,0.4949987,0.4925862,
1,1,0.029,-0.248123,0.03933971,-0.8849583,0.5085268,-0.5037247,0.4950046,0.4925774,
1,1,0.031,-0.248123,0.03933971,-0.8849583,0.5085268,-0.5037247,0.4950046,0.4925774,
1,1,0.033,-0.248123,0.03933971,-0.8849583,0.5085268,-0.5037247,0.4950046,0.4925774,
1,1,0.035,-0.248123,0.03933971,-0.8849583,0.5085268,-0.5037247,0.4950046,0.4925774,
1,1,0.037,-0.2481247,0.03935318,-0.8849622,0.5085273,-0.503722,0.4949942,0.49259,
1,1,0.039,-0.2481247,0.03935318,-0.8849622,0.5085273,-0.503722,0.4949942,0.49259,
1,1,0.041,-0.2481247,0.03935318,-0.8849622,0.5085273,-0.503722,0.4949942,0.49259,
1,1,0.043,-0.2481247,0.03935318,-0.8849622,0.5085273,-0.503722,0.4949942,0.49259,
1,1,0.045,-0.2481262,0.03935035,-0.8849542,0.50853,-0.5037022,0.4950207,0.4925808,
1,1,0.047,-0.2481262,0.03935035,-0.8849542,0.50853,-0.5037022,0.4950207,0.4925808,
1,1,0.049,-0.2481262,0.03935035,-0.8849542,0.50853,-0.5037022,0.4950207,0.4925808,
1,1,0.051,-0.2481262,0.03935035,-0.8849542,0.50853,-0.5037022,0.4950207,0.4925808,
1,1,0.053,-0.2481262,0.03935035,-0.8849542,0.50853,-0.5037022,0.4950207,0.4925808,
1,1,0.055,-0.2481357,0.03935419,-0.8849682,0.508523,-0.5037204,0.4950052,0.4925848,
1,1,0.057,-0.2481357,0.03935419,-0.8849682,0.508523,-0.5037204,0.4950052,0.4925848,
1,1,0.059,-0.2481357,0.03935419,-0.8849682,0.508523,-0.5037204,0.4950052,0.4925848,
1,1,0.061,-0.2481357,0.03935419,-0.8849682,0.508523,-0.5037204,0.4950052,0.4925848,
1,1,0.063,-0.2481343,0.03934297,-0.8849557,0.5085334,-0.5037065,0.4949974,0.4925961,
1,1,0.065,-0.2481343,0.03934297,-0.8849557,0.5085334,-0.5037065,0.4949974,0.4925961,
1,1,0.067,-0.2481343,0.03934297,-0.8849557,0.5085334,-0.5037065,0.4949974,0.4925961,
1,1,0.069,-0.2481343,0.03934297,-0.8849557,0.5085334,-0.5037065,0.4949974,0.4925961,
1,1,0.071,-0.2481375,0.03934538,-0.8849554,0.5085251,-0.5037075,0.4950091,0.4925922,
1,1,0.073,-0.2481375,0.03934538,-0.8849554,0.5085251,-0.5037075,0.4950091,0.4925922,
1,1,0.075,-0.2481375,0.03934538,-0.8849554,0.5085251,-0.5037075,0.4950091,0.4925922,
1,1,0.077,-0.2481375,0.03934538,-0.8849554,0.5085251,-0.5037075,0.4950091,0.4925922,
1,1,0.079,-0.2481328,0.03934919,-0.8849581,0.5085351,-0.5037087,0.4950114,0.4925784,
1,1,0.081,-0.2481328,0.03934919,-0.8849581,0.5085351,-0.5037087,0.4950114,0.4925784,
1,1,0.083,-0.2481328,0.03934919,-0.8849581,0.5085351,-0.5037087,0.4950114,0.4925784,
1,1,0.085,-0.2481328,0.03934919,-0.8849581,0.5085351,-0.5037087,0.4950114,0.4925784,
1,1,0.087,-0.24813,0.03935347,-0.8849586,0.5085351,-0.5037087,0.4950114,0.4925784,
1,1,0.089,-0.24813,0.03935347,-0.8849586,0.5085351,-0.5037087,0.4950114,0.4925784,
1,1,0.091,-0.24813,0.03935347,-0.8849586,0.5085351,-0.5037087,0.4950114,0.4925784,
1,1,0.093,-0.24813,0.03935347,-0.8849586,0.5085351,-0.5037087,0.4950114,0.4925784,
1,1,0.095,-0.248125,0.03934132,-0.8849624,0.5085369,-0.5037167,0.4950061,0.4925735,
1,1,0.097,-0.248125,0.03934132,-0.8849624,0.5085369,-0.5037167,0.4950061,0.4925735,
1,1,0.099,-0.248125,0.03934132,-0.8849624,0.5085369,-0.5037167,0.4950061,0.4925735,
1,1,0.101,-0.248125,0.03934132,-0.8849624,0.5085369,-0.5037167,0.4950061,0.4925735,
1,1,0.103,-0.248125,0.03934132,-0.8849624,0.5085369,-0.5037167,0.4950061,0.4925735,
1,1,0.105,-0.2481161,0.03934714,-0.884953,0.5085301,-0.5037092,0.4950049,0.4925896,
1,1,0.107,-0.2481161,0.03934714,-0.884953,0.5085301,-0.5037092,0.4950049,0.4925896,
1,1,0.109,-0.2481161,0.03934714,-0.884953,0.5085301,-0.5037092,0.4950049,0.4925896,
1,1,0.111,-0.2481161,0.03934714,-0.884953,0.5085301,-0.5037092,0.4950049,0.4925896,
1,1,0.113,-0.2481223,0.03934536,-0.8849496,0.5085227,-0.5037027,0.4950196,0.4925891,
1,1,0.115,-0.2481223,0.03934536,-0.8849496,0.5085227,-0.5037027,0.4950196,0.4925891,
1,1,0.117,-0.2481223,0.03934536,-0.8849496,0.5085227,-0.5037027,0.4950196,0.4925891,
1,1,0.119,-0.2481223,0.03934536,-0.8849496,0.5085227,-0.5037027,0.4950196,0.4925891,
1,1,0.121,-0.248133,0.03934134,-0.8849622,0.5085395,-0.5037252,0.4949962,0.4925721,
1,1,0.123,-0.248133,0.03934134,-0.8849622,0.5085395,-0.5037252,0.4949962,0.4925721,
1,1,0.125,-0.248133,0.03934134,-0.8849622,0.5085395,-0.5037252,0.4949962,0.4925721,
1,1,0.127,-0.248133,0.03934134,-0.8849622,0.5085395,-0.5037252,0.4949962,0.4925721,
1,1,0.129,-0.2481302,0.03933734,-0.8849514,0.5085458,-0.5037314,0.494972,0.4925838,
1,1,0.131,-0.2481302,0.03933734,-0.8849514,0.5085458,-0.5037314,0.494972,0.4925838,
1,1,0.133,-0.2481302,0.03933734,-0.8849514,0.5085458,-0.5037314,0.494972,0.4925838,
1,1,0.135,-0.2481302,0.03933734,-0.8849514,0.5085458,-0.5037314,0.494972,0.4925838,
1,1,0.137,-0.2481385,0.03933741,-0.8849555,0.5085365,-0.5037407,0.4949736,0.4925823,
1,1,0.139,-0.2481385,0.03933741,-0.8849555,0.5085365,-0.5037407,0.4949736,0.4925823,
1,1,0.141,-0.2481385,0.03933741,-0.8849555,0.5085365,-0.5037407,0.4949736,0.4925823,
1,1,0.143,-0.2481385,0.03933741,-0.8849555,0.5085365,-0.5037407,0.4949736,0.4925823,
1,1,0.145,-0.2481431,0.03934465,-0.8849552,0.5085257,-0.5037406,0.4949953,0.4925715,
1,1,0.147,-0.2481431,0.03934465,-0.8849552,0.5085257,-0.5037406,0.4949953,0.4925715,
1,1,0.149,-0.2481431,0.03934465,-0.8849552,0.5085257,-0.5037406,0.4949953,0.4925715,
1,1,0.151,-0.2481431,0.03934465,-0.8849552,0.5085257,-0.5037406,0.4949953,0.4925715,
1,1,0.153,-0.2481431,0.03934465,-0.8849552,0.5085257,-0.5037406,0.4949953,0.4925715,
1,1,0.155,-0.2481417,0.0393197,-0.8849761,0.5085413,-0.5037485,0.4949442,0.4925986,
