stage,trial,time,position.x,position.y,position.z,rotation.x,rotation.y,rotation.z,rotation.w,event
1,1,0.001,-0.08346547,0.04395216,-1.016501,0.5084212,-0.5039707,0.494922,0.4925177,TrialStart
1,1,0.003,-0.08346547,0.04395216,-1.016501,0.5084212,-0.5039707,0.494922,0.4925177,
1,1,0.005,-0.08346547,0.04395216,-1.016501,0.5084212,-0.5039707,0.494922,0.4925177,
1,1,0.007,-0.08346547,0.04395216,-1.016501,0.5084212,-0.5039707,0.494922,0.4925177,
1,1,0.009,-0.08346547,0.04395216,-1.016501,0.5084212,-0.5039707,0.494922,0.4925177,
1,1,0.011,-0.08346547,0.04395216,-1.016501,0.5084212,-0.5039707,0.494922,0.4925177,
1,1,0.013,-0.08346547,0.04395216,-1.016501,0.5084212,-0.5039707,0.494922,0.4925177,
1,1,0.015,-0.08346547,0.04395216,-1.016501,0.5084212,-0.5039707,0.494922,0.4925177,
1,1,0.017,-0.08346547,0.04395216,-1.016501,0.5084212,-0.5039707,0.494922,0.4925177,
1,1,0.019,-0.08346547,0.04395216,-1.016501,0.5084212,-0.5039707,0.494922,0.4925177,
1,1,0.021,-0.0834609,0.04395545,-1.016503,0.5084323,-0.5039554,0.4949349,0.492509,
1,1,0.023,-0.0834609,0.04395545,-1.016503,0.5084323,-0.5039554,0.4949349,0.492509,
1,1,0.025,-0.0834609,0.04395545,-1.016503,0.5084323,-0.5039554,0.4949349,0.492509,
1,1,0.027,-0.0834609,0.04395545,-1.016503,0.5084323,-0.5039554,0.4949349,0.492509,
1,1,0.029,-0.0834568,0.04396661,-1.016507,0.5084662,-0.5039701,0.4949233,0.4924705,
1,1,0.031,-0.0834568,0.04396661,-1.016507,0.5084662,-0.5039701,0.4949233,0.4924705,
1,1,0.033,-0.0834568,0.04396661,-1.016507,0.5084662,-0.5039701,0.4949233,0.4924705,
1,1,0.035,-0.0834568,0.04396661,-1.016507,0.5084662,-0.5039701,0.4949233,0.4924705,
1,1,0.037,-0.08346793,0.04396977,-1.016504,0.5084701,-0.5039744,0.4949148,0.4924706,
1,1,0.039,-0.08346793,0.04396977,-1.016504,0.5084701,-0.5039744,0.4949148,0.4924706,
1,1,0.041,-0.08346793,0.04396977,-1.016504,0.5084701,-0.5039744,0.4949148,0.4924706,
1,1,0.043,-0.08346793,0.04396977,-1.016504,0.5084701,-0.5039744,0.4949148,0.4924706,
1,1,0.045,-0.08346346,0.04397211,-1.016511,0.5084422,-0.5039507,0.4949486,0.4924898,
1,1,0.047,-0.08346346,0.04397211,-1.016511,0.5084422,-0.5039507,0.4949486,0.4924898,
1,1,0.049,-0.08346346,0.04397211,-1.016511,0.5084422,-0.5039507,0.4949486,0.4924898,
1,1,0.051,-0.08346346,0.04397211,-1.016511,0.5084422,-0.5039507,0.4949486,0.4924898,
1,1,0.053,-0.08346346,0.04397211,-1.016511,0.5084422,-0.5039507,0.4949486,0.4924898,
1,1,0.055,-0.08346212,0.04397368,-1.016521,0.5084363,-0.5039451,0.4949431,0.4925071,
1,1,0.057,-0.08346212,0.04397368,-1.016521,0.5084363,-0.5039451,0.4949431,0.4925071,
1,1,0.059,-0.08346212,0.04397368,-1.016521,0.5084363,-0.5039451,0.4949431,0.4925071,
1,1,0.061,-0.08346212,0.04397368,-1.016521,0.5084363,-0.5039451,0.4949431,0.4925071,
1,1,0.063,-0.08346137,0.04397457,-1.016512,0.508439,-0.5039386,0.4949519,0.4925023,
1,1,0.065,-0.08346137,0.04397457,-1.016512,0.508439,-0.5039386,0.4949519,0.4925023,
1,1,0.067,-0.08346137,0.04397457,-1.016512,0.508439,-0.5039386,0.4949519,0.4925023,
1,1,0.069,-0.08346137,0.04397457,-1.016512,0.508439,-0.5039386,0.4949519,0.4925023,
1,1,0.071,-0.08345751,0.04396752,-1.016501,0.5084351,-0.5039526,0.4949489,0.4924948,
1,1,0.073,-0.08345751,0.04396752,-1.016501,0.5084351,-0.5039526,0.4949489,0.4924948,
