stage,trial,time,position.x,position.y,position.z,rotation.x,rotation.y,rotation.z,rotation.w,event
0,0,0,0,0,0,0,0,0,0,
1,1,0.01999999,0,0,0,0,0,0,0,StageStart
1,1,0.02799999,-1.408752,0.005352816,-2.56403,-0.4176812,0.5553496,0.5696672,0.4388719,
1,1,0.03599999,-1.353202,0.005193281,-2.462884,-0.4176562,0.5552682,0.5697738,0.4388604,
1,1,0.04399999,-1.338124,0.005076931,-2.435495,-0.4176138,0.5552982,0.569759,0.4388818,
1,1,0.05199999,-1.334571,0.005074329,-2.428982,-0.4176442,0.5553709,0.5696604,0.438889,
1,1,0.05999999,-1.33371,0.005074832,-2.427468,-0.4176326,0.5553866,0.5696694,0.4388686,
1,1,0.068,-1.333521,0.005142498,-2.427082,-0.417644,0.5553885,0.5696812,0.43884,
1,1,0.07599999,-1.333474,0.005098753,-2.426994,-0.4176202,0.5553453,0.5697563,0.4388198,
1,1,0.08399999,-1.333454,0.005073283,-2.426999,-0.4176702,0.5553969,0.5696535,0.4388402,
1,1,0.09199999,-1.333448,0.005073471,-2.426993,-0.4176535,0.5553231,0.5697516,0.4388222,
1,1,0.09999999,-1.33346,0.005136421,-2.426967,-0.4176617,0.5552368,0.5698361,0.438814,
1,1,0.108,-1.333431,0.00510593,-2.426941,-0.4177134,0.5552289,0.5698005,0.4388208,
1,1,0.116,-1.333449,0.005109753,-2.426968,-0.4177383,0.5553275,0.5696846,0.4388229,
1,1,0.124,-1.333446,0.005040251,-2.426983,-0.4177024,0.555317,0.5697181,0.4388268,
1,1,0.132,-1.333466,0.005121029,-2.426986,-0.4176762,0.5553337,0.5697037,0.4388494,
1,1,0.14,-1.333445,0.005092319,-2.426973,-0.4176617,0.5553307,0.5697334,0.4388285,
1,1,0.148,-1.333442,0.005095245,-2.426959,-0.4176916,0.5553004,0.5697217,0.4388536,
1,1,0.156,-1.333458,0.005129083,-2.426962,-0.4176683,0.5552596,0.5697944,0.4388328,
1,1,0.164,-1.333447,0.005101674,-2.426944,-0.4176994,0.5552353,0.5697681,0.4388683,
1,1,0.172,-1.333457,0.005054068,-2.426976,-0.4176579,0.5553048,0.5697336,0.4388646,
1,1,0.18,-1.333459,0.005130636,-2.42695,-0.4176885,0.5552593,0.5697788,0.4388343,
1,1,0.188,-1.333447,0.005040958,-2.426983,-0.4176837,0.5553405,0.5697138,0.4388206,
1,1,0.196,-1.333436,0.005085825,-2.426934,-0.4176784,0.5552413,0.5697622,0.4388883,
1,1,0.204,-1.333471,0.005134051,-2.426976,-0.4176506,0.5552429,0.5698359,0.438817,
1,1,0.212,-1.333459,0.005090421,-2.42697,-0.4176427,0.5553155,0.5697433,0.4388529,
1,1,0.22,-1.333457,0.005078185,-2.426968,-0.4176679,0.5552824,0.5697588,0.4388507,
1,1,0.228,-1.333447,0.005075845,-2.426973,-0.4177029,0.5553834,0.5696191,0.438871,
1,1,0.236,-1.333451,0.005116275,-2.426939,-0.4177052,0.5552477,0.5697877,0.4388217,
1,1,0.244,-1.333473,0.005099643,-2.426987,-0.4177389,0.5553206,0.5697131,0.4387941,
1,1,0.252,-1.333451,0.005123733,-2.426947,-0.4177209,0.5552979,0.56968,0.4388829,
1,1,0.26,-1.333449,0.005125204,-2.426946,-0.417717,0.5553233,0.5696955,0.4388345,
1,1,0.268,-1.333459,0.005089905,-2.42698,-0.4177086,0.5553591,0.5696447,0.4388629,
1,1,0.276,-1.333452,0.005112193,-2.426952,-0.4177279,0.555341,0.5696617,0.4388454,
1,1,0.284,-1.333468,0.00511978,-2.426972,-0.4176725,0.5553117,0.5697377,0.4388369,
1,1,0.292,-1.333455,0.005056113,-2.426979,-0.4176866,0.5553842,0.5696394,0.4388591,
1,1,0.3,-1.333453,0.005115875,-2.426945,-0.417695,0.5552901,0.5697231,0.4388614,
1,1,0.308,-1.333444,0.005040607,-2.426999,-0.4176417,0.5553638,0.5697042,0.4388435,
1,1,0.316,-1.333447,0.005122092,-2.426931,-0.4177358,0.5552637,0.5697334,0.4388427,
1,1,0.324,-1.33345,0.005084973,-2.426984,-0.417714,0.5553598,0.5696641,0.4388317,
1,1,0.332,-1.333469,0.005134416,-2.426962,-0.417689,0.5552793,0.5697505,0.4388455,
1,1,0.34,-1.333468,0.005099203,-2.42696,-0.417693,0.5553582,0.5696838,0.4388282,
1,1,0.348,-1.333444,0.005086838,-2.426933,-0.4176864,0.5552666,0.5697656,0.4388444,
1,1,0.356,-1.333478,0.005160086,-2.426981,-0.4176707,0.5553058,0.5697613,0.4388152,
1,1,0.364,-1.333458,0.005083223,-2.426971,-0.4176996,0.5553485,0.5696853,0.4388324,
1,1,0.372,-1.333452,0.00511268,-2.426948,-0.4177106,0.5552859,0.5697458,0.4388225,
1,1,0.38,-1.333476,0.005159668,-2.42696,-0.4177025,0.5553488,0.5696735,0.4388445,
1,1,0.388,-1.333439,0.005067307,-2.426956,-0.4176656,0.5553221,0.5697026,0.4388757,
1,1,0.396,-1.333493,0.005161339,-2.426973,-0.4176652,0.5552894,0.5697485,0.4388579,
1,1,0.404,-1.333471,0.005119588,-2.426977,-0.4176297,0.5552205,0.5698364,0.4388646,
1,1,0.412,-1.33345,0.005102334,-2.426953,-0.417681,0.5552155,0.5698169,0.4388474,
1,1,0.42,-1.33345,0.005105642,-2.426977,-0.4176896,0.5553416,0.5696608,0.4388825,
1,1,0.428,-1.333448,0.00508789,-2.426972,-0.4176906,0.5553503,0.5696739,0.4388534,
1,1,0.436,-1.333452,0.005083567,-2.426995,-0.4176813,0.5554366,0.5695942,0.4388564,
1,1,0.444,-1.333453,0.005058812,-2.426981,-0.4176775,0.5553986,0.56964,0.4388486,
1,1,0.452,-1.33345,0.005092171,-2.426988,-0.4176478,0.5554,0.5696355,0.438881,
1,1,0.46,-1.333437,0.005068323,-2.426949,-0.4176781,0.5553193,0.5697053,0.4388639,
1,1,0.468,-1.333442,0.005122907,-2.42695,-0.4176449,0.555324,0.5697038,0.4388915,
1,1,0.476,-1.333467,0.005103529,-2.426955,-0.4176581,0.5552294,0.5698182,0.4388499,
1,1,0.484,-1.333463,0.005090232,-2.426973,-0.4176608,0.5552896,0.5697608,0.4388458,
1,1,0.492,-1.333462,0.005124921,-2.426948,-0.4176651,0.555263,0.5697839,0.4388455,
1,1,0.5,-1.333455,0.005101272,-2.426972,-0.4176724,0.555324,0.5697225,0.4388409,
1,1,0.508,-1.333467,0.005128449,-2.426954,-0.4176383,0.5552408,0.5698307,0.4388383,
1,1,0.516,-1.33346,0.005140515,-2.426964,-0.4176594,0.5552521,0.5698086,0.4388326,
1,1,0.524,-1.333463,0.005097885,-2.426987,-0.4176753,0.5553727,0.5696814,0.4388299,
1,1,0.532,-1.333441,0.005087695,-2.426951,-0.4176834,0.5552845,0.5697644,0.4388261,
1,1,0.54,-1.333467,0.005129434,-2.426951,-0.4177118,0.5552733,0.569718,0.4388734,
1,1,0.548,-1.333451,0.005134233,-2.42694,-0.4177353,0.5552665,0.5697367,0.4388353,
1,1,0.556,-1.33344,0.005103944,-2.426932,-0.4177119,0.5552433,0.5697551,0.4388632,
1,1,0.564,-1.333456,0.005121755,-2.426952,-0.4176758,0.5552228,0.5698198,0.4388395,
1,1,0.572,-1.33345,0.005121718,-2.426948,-0.4177325,0.5553014,0.5696841,0.4388621,
1,1,0.58,-1.333453,0.005120015,-2.426943,-0.4177445,0.5552949,0.5696613,0.4388885,
1,1,0.588,-1.333445,0.00504834,-2.426968,-0.4176964,0.5553722,0.569644,0.4388588,
1,1,0.596,-1.333461,0.005105651,-2.426975,-0.4177059,0.5553359,0.569663,0.4388711,
1,1,0.604,-1.33346,0.005118084,-2.426945,-0.4177084,0.5552951,0.5697154,0.4388525,
1,1,0.612,-1.333441,0.005091327,-2.426945,-0.4177135,0.5553134,0.5697036,0.4388399,
1,1,0.62,-1.333448,0.005128745,-2.426934,-0.4177326,0.5553023,0.5696865,0.4388579,
1,1,0.628,-1.333441,0.005123709,-2.426938,-0.4177599,0.5552889,0.5696939,0.4388393,
1,1,0.636,-1.333439,0.005034584,-2.42698,-0.4176888,0.5553475,0.5696785,0.4388526,
1,1,0.644,-1.33346,0.005124114,-2.426955,-0.4177115,0.5552756,0.5697366,0.4388467,
1,1,0.652,-1.333436,0.005094567,-2.426938,-0.4176877,0.5552468,0.5697497,0.4388888,
1,1,0.66,-1.333465,0.005095886,-2.426988,-0.4176889,0.5553606,0.5696428,0.4388823,
1,1,0.668,-1.333442,0.005083499,-2.426949,-0.4176644,0.5552237,0.5698073,0.4388652,
1,1,0.676,-1.333448,0.005109093,-2.426944,-0.4176908,0.5552257,0.5697711,0.4388847,
1,1,0.684,-1.333472,0.005133094,-2.42697,-0.4176579,0.5552691,0.5697982,0.4388258,
1,1,0.692,-1.333469,0.00515206,-2.426971,-0.4176787,0.5552671,0.5697821,0.4388295,
1,1,0.7,-1.333452,0.005113548,-2.426969,-0.4176567,0.5552518,0.5698103,0.4388331,
