stage,trial,time,position.x,position.y,position.z,rotation.x,rotation.y,rotation.z,rotation.w,event
0,0,0,0,1,0,0,0,0,1,
1,1,0.01999999,0,0,0,0,0,0,1,StageStart
1,1,0.02833333,0,0,0,0,0,0,1,
1,1,0.03666666,-2.252498,0.01959308,-2.45309,0.5559555,-0.4176759,-0.4334465,-0.5732229,
1,1,0.04499999,-2.252507,0.01958271,-2.453089,0.5559714,-0.4176661,-0.4334546,-0.5732085,
1,1,0.05333333,-2.252495,0.01960514,-2.453088,0.5559887,-0.417672,-0.4334453,-0.5731944,
1,1,0.06116492,-2.252496,0.01961705,-2.453099,0.5560538,-0.4176874,-0.4334171,-0.5731415,
1,1,0.06912773,-2.252497,0.01958577,-2.453105,0.5559903,-0.4176808,-0.4334404,-0.5731902,
1,1,0.07724643,-2.252505,0.01962263,-2.453091,0.5560865,-0.4177,-0.4334171,-0.5731005,
1,1,0.08517663,-2.2525,0.0195938,-2.453094,0.5560288,-0.4176693,-0.4334478,-0.5731556,
1,1,0.09350996,-2.252493,0.01958434,-2.453087,0.5560175,-0.4176617,-0.4334556,-0.5731663,
1,1,0.1010795,-2.252502,0.01961376,-2.453089,0.5560437,-0.4176846,-0.4334224,-0.5731493,
1,1,0.1083919,-2.252497,0.01959801,-2.453086,0.556051,-0.4176806,-0.43341,-0.5731544,
1,1,0.1167252,-2.252502,0.01959528,-2.453079,0.5560325,-0.4176919,-0.4334072,-0.5731663,
1,1,0.1236685,-2.252493,0.01959929,-2.453082,0.5560668,-0.4176873,-0.4334217,-0.5731255,
1,1,0.130174,-2.252496,0.01960356,-2.45309,0.5560119,-0.417688,-0.433429,-0.5731727,
1,1,0.1385073,-2.252492,0.01959615,-2.453082,0.5560372,-0.4176968,-0.4334219,-0.5731471,
1,1,0.1456425,-2.252489,0.01958507,-2.45309,0.5559927,-0.4176705,-0.43346,-0.5731805,
1,1,0.152853,-2.252487,0.01960416,-2.453094,0.5559534,-0.4176585,-0.4334844,-0.573209,
1,1,0.1596241,-2.252489,0.0195917,-2.453097,0.5559297,-0.4176574,-0.4334942,-0.5732254,
1,1,0.1679575,-2.252488,0.01957507,-2.453092,0.5559596,-0.4176615,-0.4334801,-0.573204,
1,1,0.1745305,-2.252486,0.01956071,-2.453097,0.5558971,-0.4176445,-0.4335073,-0.5732564,
1,1,0.181478,-2.252482,0.01959419,-2.453087,0.5559533,-0.4176555,-0.4334804,-0.5732144,
1,1,0.1884453,-2.252491,0.01960158,-2.4531,0.555994,-0.4176845,-0.4334616,-0.5731679,
1,1,0.1967786,-2.252487,0.01960004,-2.453093,0.555966,-0.4176916,-0.433466,-0.5731865,
1,1,0.2034945,-2.252495,0.01961294,-2.45309,0.5560298,-0.4176969,-0.4334495,-0.5731332,
1,1,0.2103521,-2.25248,0.01960202,-2.4531,0.5559525,-0.4176725,-0.4334738,-0.5732076,
1,1,0.2186854,-2.252488,0.01960338,-2.453082,0.5559644,-0.4176539,-0.4334849,-0.5732014,
1,1,0.2251793,-2.252488,0.01958306,-2.453095,0.5559437,-0.4176469,-0.433489,-0.5732234,
1,1,0.2335127,-2.252489,0.0195905,-2.453085,0.5559599,-0.4176605,-0.4334842,-0.5732013,
1,1,0.2399232,-2.252491,0.01959198,-2.45308,0.5559426,-0.4176649,-0.4334879,-0.5732122,
1,1,0.2471654,-2.252484,0.01961035,-2.453087,0.5560177,-0.417673,-0.4334714,-0.5731458,
1,1,0.2540842,-2.252488,0.01960558,-2.453091,0.5559937,-0.4176889,-0.433459,-0.5731668,
1,1,0.2624175,-2.252488,0.01960723,-2.453091,0.5560002,-0.4176844,-0.4334629,-0.5731609,
1,1,0.2690022,-2.252481,0.0195918,-2.453086,0.5560018,-0.4176859,-0.4334754,-0.5731488,
1,1,0.2773356,-2.252491,0.01962229,-2.453099,0.5559962,-0.417698,-0.4334669,-0.5731519,
1,1,0.2841088,-2.252483,0.01960432,-2.453112,0.5559416,-0.4176997,-0.4334901,-0.5731861,
1,1,0.2908987,-2.252483,0.01961698,-2.453103,0.556015,-0.417706,-0.4334699,-0.5731256,
1,1,0.2992321,-2.252478,0.01961397,-2.453116,0.555965,-0.4176973,-0.4334875,-0.5731671,
1,1,0.3060559,-2.252478,0.01961287,-2.45312,0.5559321,-0.4176694,-0.4335137,-0.5731995,
1,1,0.3126387,-2.25249,0.01960869,-2.453124,0.5559397,-0.417694,-0.4334869,-0.5731944,
1,1,0.320972,-2.25248,0.01960955,-2.453122,0.5559272,-0.4177057,-0.4334864,-0.5731984,
1,1,0.3273928,-2.252482,0.0196069,-2.453125,0.5559057,-0.4176908,-0.43348,-0.573235,
1,1,0.3340617,-2.252481,0.01962153,-2.453125,0.555939,-0.4177237,-0.4334413,-0.5732082,
1,1,0.342395,-2.252479,0.01962676,-2.453117,0.5559565,-0.4177327,-0.4334323,-0.5731913,
1,1,0.3491544,-2.252475,0.01958824,-2.453138,0.5558624,-0.4176893,-0.433457,-0.5732955,
1,1,0.3558618,-2.252494,0.01962136,-2.453114,0.5559636,-0.417698,-0.4334395,-0.5732043,
1,1,0.3641952,-2.252487,0.01960331,-2.453103,0.5559777,-0.4177052,-0.4334278,-0.5731941,
1,1,0.3707725,-2.252486,0.01959818,-2.453101,0.555967,-0.4177005,-0.4334299,-0.5732064,
1,1,0.3791058,-2.252496,0.019618,-2.45311,0.5559963,-0.417716,-0.4334139,-0.5731788,
1,1,0.3857248,-2.25248,0.01959015,-2.453112,0.5559531,-0.4176986,-0.4334245,-0.5732253,
1,1,0.3925801,-2.252494,0.01959742,-2.453102,0.5559924,-0.4177074,-0.4334364,-0.5731719,
1,1,0.4009134,-2.252491,0.0195893,-2.45312,0.5559446,-0.4176908,-0.4334576,-0.5732144,
1,1,0.4080033,-2.252498,0.01959623,-2.453104,0.5559779,-0.4176803,-0.4334539,-0.5731924,
