stage,trial,time,position.x,position.y,position.z,rotation.x,rotation.y,rotation.z,rotation.w,event
0,0,0,0,0,0,0,0,0,1,
1,1,0.01999999,0,0,0,0,0,0,1,StageStart
1,1,0.02833333,-2.177746,0.02487233,-2.535422,-0.5957583,0.4004393,-0.3726999,-0.5880606,
1,1,0.03581752,-2.177737,0.0249035,-2.535414,-0.5958789,0.4003713,-0.3727662,-0.5879427,
1,1,0.04329563,-2.17778,0.02499797,-2.535415,-0.5960474,0.4003968,-0.3727431,-0.5877691,
1,1,0.05150023,-2.177757,0.02483061,-2.53542,-0.5957593,0.4004282,-0.3727327,-0.5880464,
1,1,0.05983356,-2.177755,0.02486134,-2.535424,-0.5957132,0.4004198,-0.3727469,-0.5880898,
1,1,0.06811686,-2.177769,0.02487634,-2.535432,-0.5957292,0.4003978,-0.3727346,-0.5880963,
1,1,0.07645019,-2.177704,0.02476055,-2.535436,-0.5955815,0.4004164,-0.3727029,-0.5882533,
1,1,0.08474859,-2.177801,0.02498094,-2.535406,-0.5959753,0.4003834,-0.3727091,-0.5878729,
1,1,0.09307809,-2.177765,0.02493161,-2.535425,-0.596026,0.4004105,-0.3727065,-0.5878047,
1,1,0.1010276,-2.177777,0.02492002,-2.535416,-0.5959751,0.4003951,-0.3727794,-0.5878206,
1,1,0.1092376,-2.177752,0.02485065,-2.535433,-0.5957574,0.4004202,-0.3727338,-0.588053,
1,1,0.1175709,-2.177763,0.02489296,-2.535423,-0.5957927,0.4004189,-0.3727228,-0.5880252,
1,1,0.1253196,-2.177761,0.02493725,-2.535419,-0.5959474,0.400425,-0.3726664,-0.5878999,
1,1,0.133653,-2.177809,0.02498194,-2.535415,-0.5961009,0.4003612,-0.3727244,-0.587751,
1,1,0.1417088,-2.177743,0.02490401,-2.535414,-0.5959582,0.400406,-0.3727322,-0.5878602,
1,1,0.1500421,-2.177725,0.02482652,-2.535438,-0.5957462,0.4004115,-0.3727375,-0.588068,
1,1,0.1583754,-2.177773,0.02489934,-2.535428,-0.5958216,0.4003982,-0.3726707,-0.588043,
1,1,0.1666987,-2.177742,0.02484488,-2.535434,-0.5957556,0.4004158,-0.3727132,-0.5880708,
1,1,0.1749837,-2.177761,0.0249262,-2.535415,-0.5959529,0.4004012,-0.3726805,-0.5879016,
1,1,0.1833171,-2.177738,0.02484068,-2.535423,-0.595699,0.4004359,-0.3727129,-0.5881147,
1,1,0.1916313,-2.177742,0.02487097,-2.535426,-0.5957919,0.4004267,-0.3727182,-0.5880235,
1,1,0.1999646,-2.177734,0.02488711,-2.535422,-0.595867,0.4004171,-0.3726779,-0.5879795,
1,1,0.2080271,-2.17777,0.02492178,-2.535422,-0.5958945,0.4004203,-0.3726752,-0.5879512,
1,1,0.2163254,-2.177761,0.02488586,-2.535417,-0.5957737,0.4004152,-0.3727528,-0.5880279,
1,1,0.224466,-2.177733,0.02486548,-2.53543,-0.5958837,0.4004238,-0.3726982,-0.5879452,
1,1,0.2327993,-2.177768,0.02491581,-2.535427,-0.595888,0.4004165,-0.3726842,-0.5879548,
1,1,0.240989,-2.177755,0.02492039,-2.535425,-0.5959445,0.4003941,-0.3727293,-0.5878839,
1,1,0.249033,-2.17775,0.0249002,-2.535424,-0.5959916,0.4004462,-0.3725944,-0.5878863,
1,1,0.2573664,-2.17782,0.02500726,-2.535415,-0.5961344,0.400375,-0.3726934,-0.5877272,
1,1,0.2653316,-2.177771,0.02492427,-2.535435,-0.5961133,0.4004153,-0.3726565,-0.5877445,
1,1,0.2736649,-2.17773,0.02481275,-2.535419,-0.5957782,0.4004489,-0.372667,-0.5880548,
1,1,0.2816504,-2.177736,0.02481335,-2.535435,-0.5956249,0.4004354,-0.3726702,-0.5882173,
1,1,0.2899837,-2.177778,0.02494152,-2.535425,-0.5959271,0.4004248,-0.3726531,-0.5879291,
1,1,0.2981014,-2.177778,0.02492813,-2.535422,-0.5960144,0.4004036,-0.3726919,-0.5878304,
1,1,0.3064348,-2.177764,0.02492704,-2.535418,-0.5959437,0.4004304,-0.3727111,-0.5878717,
1,1,0.3144352,-2.177737,0.02481746,-2.535434,-0.5957306,0.4004588,-0.3726847,-0.5880851,
1,1,0.3227686,-2.177766,0.02487724,-2.535433,-0.5957959,0.4003959,-0.3727367,-0.5880287,
1,1,0.3309419,-2.177719,0.02485652,-2.53543,-0.5957535,0.4004332,-0.3726231,-0.5881183,
1,1,0.3388446,-2.177754,0.02491268,-2.53543,-0.5957943,0.4004447,-0.3726454,-0.588055,
1,1,0.3471779,-2.177773,0.02492436,-2.535424,-0.5959431,0.4004378,-0.3726274,-0.5879202,
1,1,0.3552836,-2.1777,0.02478889,-2.535448,-0.5957394,0.4004643,-0.3726158,-0.588116,
1,1,0.3636169,-2.17776,0.02485432,-2.535437,-0.5956688,0.4004304,-0.3726941,-0.5881609,
1,1,0.371516,-2.177776,0.024957,-2.535415,-0.5959553,0.4004013,-0.3726557,-0.5879148,
1,1,0.3798494,-2.177763,0.02490554,-2.535428,-0.5959352,0.4004144,-0.3726988,-0.587899,
1,1,0.3879264,-2.17774,0.02486637,-2.535429,-0.5958421,0.4004181,-0.3727172,-0.5879791,
1,1,0.3962597,-2.177765,0.02486842,-2.535421,-0.5956905,0.4004199,-0.3727477,-0.5881122,
1,1,0.4045743,-2.177792,0.02496727,-2.535412,-0.5959071,0.4004067,-0.3727379,-0.587908,
1,1,0.4129077,-2.177731,0.02485061,-2.535427,-0.5957522,0.4004354,-0.3727397,-0.5880442,
1,1,0.4209949,-2.177745,0.0248695,-2.535415,-0.5957527,0.4003972,-0.3727832,-0.5880423,
1,1,0.4293283,-2.177735,0.02479422,-2.535429,-0.5956477,0.4003874,-0.3727914,-0.58815,
1,1,0.4376616,-2.177742,0.02478039,-2.53544,-0.5955839,0.4003924,-0.372738,-0.588245,
1,1,0.4454989,-2.177813,0.02497505,-2.535422,-0.595901,0.4003763,-0.3727544,-0.5879244,
1,1,0.4538322,-2.177733,0.02485268,-2.535435,-0.5957668,0.400419,-0.3727343,-0.588044,
1,1,0.4620079,-2.177762,0.02489553,-2.535432,-0.5958465,0.4004258,-0.3726477,-0.5880134,
1,1,0.4700586,-2.177759,0.02491155,-2.535419,-0.5959052,0.4003966,-0.3727593,-0.5879031,
1,1,0.4783919,-2.177753,0.0248628,-2.53543,-0.5958814,0.4004074,-0.3727569,-0.5879214,
1,1,0.4861316,-2.177763,0.02491091,-2.535425,-0.5959309,0.4003923,-0.3727632,-0.5878775,
1,1,0.4944649,-2.177737,0.02486569,-2.535423,-0.5958332,0.4004305,-0.3727024,-0.5879892,
