stage,trial,time,position.x,position.y,position.z,rotation.x,rotation.y,rotation.z,rotation.w,event
0,0,0,0,0,0,0,0,0,1,
1,1,0.01999999,-1,0.001,17.5,0,0,0,1,StageStart
1,1,0.02833333,-1,0.001,17.5,0,0,0,1,
1,1,0.03579013,-1,0.001,17.5,0,0,0,1,
1,1,0.04338893,-1,0.001,17.5,0,0,0,1,
1,1,0.05172226,-1,0.001,17.5,0,0,0,1,
1,1,0.05981816,-1,0.001,17.5,0,0,0,1,
1,1,0.06815149,-1,0.001,17.5,0,0,0,1,
1,1,0.07648482,-1,0.001,17.5,0,0,0,1,
1,1,0.08481815,-1,0.001,17.5,0,0,0,1,
1,1,0.09272645,-1,0.001,17.5,0,0,0,1,
1,1,0.1010598,-1,0.001,17.5,0,0,0,1,
1,1,0.1093931,-1,0.001,17.5,0,0,0,1,
1,1,0.1173814,-1,0.001,17.5,0,0,0,1,
1,1,0.1257147,-1,0.001,17.5,0,0,0,1,
1,1,0.1340481,-1,0.001,17.5,0,0,0,1,
1,1,0.1423098,-1,0.001,17.5,0,0,0,1,
1,1,0.1505958,-1,0.001,17.5,0,0,0,1,
1,1,0.1586685,-1,0.001,17.5,0,0,0,1,
1,1,0.1670018,-1,0.001,17.5,0,0,0,1,
1,1,0.1753352,-1,0.001,17.5,0,0,0,1,
1,1,0.1836685,-1,0.001,17.5,0,0,0,1,
1,1,0.1889516,-1,0.001,17.5,0,0,0,1,
1,1,0.1947775,-1,0.001,17.5,0,0,0,1,
1,1,0.2031108,-1,0.001,17.5,0,0,0,1,
1,1,0.2114442,-1,0.001,17.5,0,0,0,1,
1,1,0.2191551,-1,0.001,17.5,0,0,0,1,
1,1,0.2274885,-1,0.001,17.5,0,0,0,1,
1,1,0.2357252,-1,0.001,17.5,0,0,0,1,
1,1,0.2440585,-1,0.001,17.5,0,0,0,1,
1,1,0.2523918,-1,0.001,17.5,0,0,0,1,
1,1,0.2605296,-1,0.001,17.5,0,0,0,1,
1,1,0.268863,-1,0.001,17.5,0,0,0,1,
1,1,0.2767159,-1,0.001,17.5,0,0,0,1,
1,1,0.2850492,-1,0.001,17.5,0,0,0,1,
1,1,0.2933826,-1,0.001,17.5,0,0,0,1,
1,1,0.3017159,-1,0.001,17.5,0,0,0,1,
1,1,0.3097067,-1,0.001,17.5,0,0,0,1,
1,1,0.31804,-1,0.001,17.5,0,0,0,1,
1,1,0.3260029,-1,0.001,17.5,0,0,0,1,
1,1,0.3339995,-1,0.001,17.5,0,0,0,1,
1,1,0.3423328,-1,0.001,17.5,0,0,0,1,
1,1,0.3506662,-1,0.001,17.5,0,0,0,1,
1,1,0.3589995,-1,0.001,17.5,0,0,0,1,
1,1,0.366869,-1,0.001,17.5,0,0,0,1,
1,1,0.3752024,-1,0.001,17.5,0,0,0,1,
1,1,0.3835357,-1,0.001,17.5,0,0,0,1,
1,1,0.3916133,-1,0.001,17.5,0,0,0,1,
1,1,0.3999466,-1,0.001,17.5,0,0,0,1,
1,1,0.40828,-1,0.001,17.5,0,0,0,1,
1,1,0.4165033,-1,0.001,17.5,0,0,0,1,
1,1,0.4248366,-1,0.001,17.5,0,0,0,1,
1,1,0.4328414,-1,0.001,17.5,0,0,0,1,
1,1,0.4411747,-1,0.001,17.5,0,0,0,1,
1,1,0.4492463,-1,0.001,17.5,0,0,0,1,
1,1,0.4571773,-1,0.001,17.5,0,0,0,1,
1,1,0.4655106,-1,0.001,17.5,0,0,0,1,
1,1,0.4735358,-1,0.001,17.5,0,0,0,1,
1,1,0.4818321,-1,0.001,17.5,0,0,0,1,
1,1,0.4901654,-1,0.001,17.5,0,0,0,1,
1,1,0.4984987,-1,0.001,17.5,0,0,0,1,
1,1,0.5067512,-1,0.001,17.5,0,0,0,1,
1,1,0.5150846,-1,0.001,17.5,0,0,0,1,
1,1,0.5234179,-1,0.001,17.5,0,0,0,1,
1,1,0.5312865,-1,0.001,17.5,0,0,0,1,
1,1,0.5393934,-1,0.001,17.5,0,0,0,1,
1,1,0.5477267,-1,0.001,17.5,0,0,0,1,
1,1,0.5560601,-1,0.001,17.5,0,0,0,1,
1,1,0.5643934,-1,0.001,17.5,0,0,0,1,
1,1,0.5727267,-1,0.001,17.5,0,0,0,1,
1,1,0.5804524,-1,0.001,17.5,0,0,0,1,
1,1,0.5887858,-1,0.001,17.5,0,0,0,1,
1,1,0.5968019,-1,0.001,17.5,0,0,0,1,
1,1,0.6048074,-1,0.001,17.5,0,0,0,1,BallLaunch
1,1,0.6129327,-1,0.001,17.5,0,0,0,1,
1,1,0.621266,-1,0.001,17.5,0,0,0,1,
1,1,0.6265449,-1,0.001,17.5,0,0,0,1,
1,1,0.6348782,-1,0.001,17.5,0,0,0,1,
1,1,0.6428111,-1,0.001,17.5,0,0,0,1,
1,1,0.6511272,-1,0.001,17.5,0,0,0,1,
1,1,0.6590533,-1,0.001,17.5,0,0,0,1,
1,1,0.6673867,-1,0.001,17.5,0,0,0,1,
1,1,0.67572,-1,0.001,17.5,0,0,0,1,
