stage,trial,time,position.x,position.y,position.z,rotation.x,rotation.y,rotation.z,rotation.w,event
0,0,0,0,1.165,0,0,0,0,1,
1,1,0.01999999,0,0.165,0,0,0,0,1,StageStart
1,1,0.02833333,0,0.165,0,0,0,0,1,
1,1,0.03666666,-1.714466,0.839263,-2.548439,-0.4167389,0.3272314,0.6372606,0.5595956,
1,1,0.04403386,-1.661529,0.8096694,-2.46013,-0.4145626,0.326012,0.6389528,0.5599941,
1,1,0.05227936,-1.648116,0.8023437,-2.437723,-0.4138885,0.325744,0.6393966,0.5601421,
1,1,0.06061269,-1.645337,0.8008311,-2.432667,-0.4134537,0.3256157,0.639681,0.5602132,
1,1,0.0687997,-1.645117,0.800608,-2.431665,-0.4133224,0.3254642,0.639999,0.5600348,
1,1,0.07713303,-1.645608,0.8010958,-2.431703,-0.4132245,0.3254829,0.6401015,0.5599791,
1,1,0.08546636,-1.645994,0.8017299,-2.432052,-0.4132012,0.3257114,0.6400214,0.559955,
1,1,0.09344286,-1.646508,0.8025308,-2.432531,-0.4130179,0.3260732,0.6398381,0.5600891,
1,1,0.101769,-1.647165,0.8032051,-2.432997,-0.4130981,0.326027,0.6398562,0.5600361,
1,1,0.1101023,-1.64755,0.8041116,-2.433553,-0.4130867,0.326678,0.6394619,0.5601155,
1,1,0.1179536,-1.648018,0.8049802,-2.43401,-0.4131892,0.3273077,0.6390865,0.5601007,
1,1,0.1262869,-1.648483,0.8057618,-2.434428,-0.4131695,0.3278322,0.6388192,0.5601135,
1,1,0.1346203,-1.648897,0.8066027,-2.43499,-0.4132981,0.3283579,0.6383655,0.5602278,
1,1,0.1429536,-1.649324,0.8074408,-2.435545,-0.4135854,0.3289073,0.6379727,0.560141,
1,1,0.1511837,-1.649951,0.8087052,-2.436,-0.4144521,0.3303441,0.636856,0.5599256,
1,1,0.1593049,-1.650445,0.8096439,-2.436407,-0.415121,0.3319017,0.6358976,0.5595981,
1,1,0.1676382,-1.651029,0.8104396,-2.436775,-0.4155408,0.3330357,0.6352977,0.5592942,
1,1,0.1758896,-1.651313,0.8114042,-2.437196,-0.4161606,0.3338785,0.634792,0.5589049,
1,1,0.184223,-1.651692,0.8122791,-2.437698,-0.4166222,0.334741,0.634208,0.5587081,
1,1,0.1923848,-1.652025,0.8131858,-2.438217,-0.4172614,0.3356984,0.63349,0.558471,
1,1,0.2007181,-1.652416,0.8139818,-2.438796,-0.4178953,0.3369713,0.6327918,0.5580218,
1,1,0.208981,-1.652588,0.8149782,-2.439394,-0.4186334,0.338796,0.6318208,0.5574637,
1,1,0.216866,-1.652513,0.8159829,-2.440038,-0.4187789,0.3398758,0.6310011,0.5576257,
1,1,0.2251993,-1.652853,0.8165789,-2.440544,-0.4190087,0.3402804,0.6308382,0.5573906,
1,1,0.2328279,-1.653071,0.8169956,-2.441191,-0.4194939,0.340792,0.6306302,0.5569482,
1,1,0.2411543,-1.653506,0.8174033,-2.441616,-0.4194927,0.3416033,0.6306942,0.5563794,
1,1,0.2492376,-1.65362,0.8177575,-2.442063,-0.4195279,0.3419912,0.6307805,0.5560164,
1,1,0.257571,-1.653771,0.8181479,-2.442721,-0.4196816,0.3421647,0.630804,0.5557671,
1,1,0.2658352,-1.653819,0.8184287,-2.443258,-0.4197276,0.3427288,0.630803,0.5553859,
1,1,0.2736032,-1.653963,0.8188577,-2.443892,-0.4194258,0.3438011,0.630729,0.5550351,
