stage,trial,time,position.x,position.y,position.z,rotation.x,rotation.y,rotation.z,rotation.w,event
0,0,0,0,0,0,0,0,0,1,
1,1,0.01999999,0,0,0,0,0,0,1,StageStart
1,1,0.02833333,0,0,0,0,0,0,1,
1,1,0.03666666,0,0,0,0,0,0,1,
1,1,0.04411306,0,0,0,0,0,0,1,
1,1,0.05079386,0,0,0,0,0,0,1,
1,1,0.05912719,0,0,0,0,0,0,1,
1,1,0.06712709,0,0,0,0,0,0,1,
1,1,0.07501459,0,0,0,0,0,0,1,
1,1,0.08334792,0,0,0,0,0,0,1,
1,1,0.09131262,0,0,0,0,0,0,1,
1,1,0.09954952,0,0,0,0,0,0,1,
1,1,0.1078829,0,0,0,0,0,0,1,
1,1,0.1162162,0,0,0,0,0,0,1,
1,1,0.123762,0,0,0,0,0,0,1,
1,1,0.1317096,0,0,0,0,0,0,1,
1,1,0.1400429,0,0,0,0,0,0,1,
1,1,0.1479398,0,0,0,0,0,0,1,
1,1,0.1559104,0,0,0,0,0,0,1,
1,1,0.1641535,0,0,0,0,0,0,1,
1,1,0.1724869,0,0,0,0,0,0,1,
1,1,0.1808202,0,0,0,0,0,0,1,
1,1,0.1891491,0,0,0,0,0,0,1,
1,1,0.1972631,0,0,0,0,0,0,1,
1,1,0.2055964,0,0,0,0,0,0,1,
1,1,0.2132896,0,0,0,0,0,0,1,
1,1,0.221623,0,0,0,0,0,0,1,
1,1,0.2299243,0,0,0,0,0,0,1,
1,1,0.2380846,0,0,0,0,0,0,1,
1,1,0.2464179,0,0,0,0,0,0,1,
1,1,0.2547512,0,0,0,0,0,0,1,
1,1,0.262863,0,0,0,0,0,0,1,
1,1,0.2711227,0,0,0,0,0,0,1,
1,1,0.279456,0,0,0,0,0,0,1,
1,1,0.2877894,0,0,0,0,0,0,1,
1,1,0.2961227,0,0,0,0,0,0,1,
1,1,0.3042795,0,0,0,0,0,0,1,
1,1,0.3126129,0,0,0,0,0,0,1,
1,1,0.3195682,0,0,0,0,0,0,1,
1,1,0.3279016,0,0.5,7.5,0,0,0,1,BallLaunch
1,1,0.3362349,-0.001156108,0.5458696,7.442194,-0.00330913,-0.9435973,-0.3309444,0.009434998,
1,1,0.3445683,-0.002323841,0.591522,7.383806,-0.00330913,-0.9435973,-0.3309444,0.009434998,
1,1,0.3522647,-0.003400385,0.6330029,7.329979,-0.00330913,-0.9435973,-0.3309444,0.009434998,
1,1,0.360598,-0.004563936,0.6771791,7.271802,-0.00330913,-0.9435973,-0.3309444,0.009434998,
1,1,0.3684151,-0.005653459,0.7179238,7.217325,-0.00330913,-0.9435973,-0.3309444,0.009434998,
1,1,0.3766995,-0.006806069,0.760372,7.159694,-0.00330913,-0.9435973,-0.3309444,0.009434998,
1,1,0.3850328,-0.007963389,0.8023134,7.101828,-0.00330913,-0.9435973,-0.3309444,0.009434998,
1,1,0.3933662,-0.009118616,0.8434939,7.044067,-0.00330913,-0.9435973,-0.3309444,0.009434998,
1,1,0.4015639,-0.01025304,0.8832672,6.987345,-0.00330913,-0.9435973,-0.3309444,0.009434998,
1,1,0.4098973,-0.01140418,0.92295,6.929788,-0.00330913,-0.9435973,-0.3309444,0.009434998,
1,1,0.4182306,-0.01255329,0.9618785,6.872332,-0.00330913,-0.9435973,-0.3309444,0.009434998,
1,1,0.4265639,-0.01370038,1.000056,6.814976,-0.00330913,-0.9435973,-0.3309444,0.009434998,
1,1,0.4348356,-0.01483702,1.03721,6.758145,-0.00330913,-0.9435973,-0.3309444,0.009434998,
1,1,0.4430833,-0.01596843,1.073523,6.701574,-0.00330913,-0.9435973,-0.3309444,0.009434998,
1,1,0.4514167,-0.01710962,1.10947,6.644514,-0.00330913,-0.9435973,-0.3309444,0.009434998,
1,1,0.4593007,-0.01818749,1.142794,6.59062,-0.00330913,-0.9435973,-0.3309444,0.009434998,
1,1,0.4652372,-0.01899797,1.167447,6.550096,-0.00330913,-0.9435973,-0.3309444,0.009434998,
1,1,0.4735705,-0.02013403,1.201419,6.493293,-0.00330913,-0.9435973,-0.3309444,0.009434998,
1,1,0.4814931,-0.02121233,1.233031,6.439377,-0.00330913,-0.9435973,-0.3309444,0.009434998,
1,1,0.4898264,-0.0223447,1.265562,6.382758,-0.00330913,-0.9435973,-0.3309444,0.009434998,
1,1,0.497965,-0.02344881,1.296621,6.327552,-0.00330913,-0.9435973,-0.3309444,0.009434998,
1,1,0.5062984,-0.0245775,1.327695,6.271118,-0.00330913,-0.9435973,-0.3309444,0.009434998,
1,1,0.5142042,-0.02564658,1.356498,6.217664,-0.00330913,-0.9435973,-0.3309444,0.009434998,
1,1,0.5225375,-0.0267717,1.386145,6.161407,-0.00330913,-0.9435973,-0.3309444,0.009434998,
1,1,0.5302696,-0.02781403,1.412999,6.109291,-0.00330913,-0.9435973,-0.3309444,0.009434998,
1,1,0.5386029,-0.02893567,1.441238,6.053208,-0.00330913,-0.9435973,-0.3309444,0.009434998,
1,1,0.5463805,-0.0299809,1.466938,6.000946,-0.00330913,-0.9435973,-0.3309444,0.009434998,
1,1,0.5547139,-0.03109912,1.493771,5.945035,-0.00330913,-0.9435973,-0.3309444,0.009434998,
1,1,0.5627379,-0.03217416,1.518923,5.891282,-0.00330913,-0.9435973,-0.3309444,0.009434998,
1,1,0.5710712,-0.03328894,1.544334,5.835543,-0.00330913,-0.9435973,-0.3309444,0.009434998,
1,1,0.5790775,-0.03435835,1.568067,5.782072,-0.00330913,-0.9435973,-0.3309444,0.009434998,
1,1,0.5873988,-0.03546815,1.592027,5.726582,-0.00330913,-0.9435973,-0.3309444,0.009434998,
1,1,0.5957322,-0.03657785,1.615304,5.671096,-0.00330913,-0.9435973,-0.3309444,0.009434998,
1,1,0.6036713,-0.03763349,1.636811,5.618315,-0.00330913,-0.9435973,-0.3309444,0.009434998,
1,1,0.6120046,-0.0387399,1.658687,5.562994,-0.00330913,-0.9435973,-0.3309444,0.009434998,
1,1,0.6203379,-0.03984464,1.679844,5.507756,-0.00330913,-0.9435973,-0.3309444,0.009434998,
1,1,0.6283409,-0.04090404,1.699491,5.454786,-0.00330913,-0.9435973,-0.3309444,0.009434998,
1,1,0.6366742,-0.04200555,1.719249,5.39971,-0.00330913,-0.9435973,-0.3309444,0.009434998,
1,1,0.6449645,-0.04309976,1.738198,5.344999,-0.00330913,-0.9435973,-0.3309444,0.009434998,
1,1,0.6532978,-0.04419802,1.756536,5.290086,-0.00330913,-0.9435973,-0.3309444,0.009434998,
1,1,0.6612734,-0.04524763,1.773422,5.237605,-0.00330913,-0.9435973,-0.3309444,0.009434998,
