stage,trial,time,position.x,position.y,position.z,rotation.x,rotation.y,rotation.z,rotation.w,event
0,0,0,0,1,0,0,0,0,1,
1,1,0.01999999,0,0,0,0,0,0,1,BallLaunch
1,1,0.02833333,0,0,0,0,0,0,1,
1,1,0.03607813,0,0,0,0,0,0,1,
1,1,0.04441146,0,0,0,0,0,0,1,
1,1,0.04905146,0,0,0,0,0,0,1,
1,1,0.05738479,0,0,0,0,0,0,1,
1,1,0.06571813,0,0,0,0,0,0,1,
1,1,0.07405146,0,0,0,0,0,0,1,
1,1,0.08229136,0,0,0,0,0,0,1,
1,1,0.0906247,0,0,0,0,0,0,1,
1,1,0.09895803,0,0,0,0,0,0,1,
1,1,0.1072914,0,0,0,0,0,0,1,
1,1,0.1147991,0,0,0,0,0,0,1,
1,1,0.1231324,0,0,0,0,0,0,1,
1,1,0.1314431,0,0,0,0,0,0,1,
1,1,0.1397764,0,0,0,0,0,0,1,
1,1,0.1475472,0,0,0,0,0,0,1,
1,1,0.1558806,0,0,0,0,0,0,1,
1,1,0.1639091,0,0,0,0,0,0,1,
1,1,0.1722424,0,0,0,0,0,0,1,
1,1,0.1805757,0,0,0,0,0,0,1,
1,1,0.1881012,0,0,0,0,0,0,1,
1,1,0.1964346,0,0,0,0,0,0,1,
1,1,0.2044808,0,0,0,0,0,0,1,
1,1,0.2128141,0,0,0,0,0,0,1,
1,1,0.2210972,0,0,0,0,0,0,1,
1,1,0.229259,0,0,0,0,0,0,1,
1,1,0.2375162,0,0,0,0,0,0,1,
1,1,0.2458495,0,0,0,0,0,0,1,
1,1,0.2539105,0,0,0,0,0,0,1,
1,1,0.2622439,0,0,0,0,0,0,1,
1,1,0.2705772,0,0,0,0,0,0,1,
1,1,0.278895,0,0,0,0,0,0,1,
1,1,0.2871679,0,0,0,0,0,0,1,
1,1,0.2952036,0,0,0,0,0,0,1,
1,1,0.3035369,0,0,0,0,0,0,1,
1,1,0.3118246,0,0,0,0,0,0,1,
1,1,0.320033,0,0,0,0,0,0,1,
1,1,0.3283664,0,0,0,0,0,0,1,
1,1,0.3366997,0,0,0,0,0,0,1,
1,1,0.3442107,0,0,0,0,0,0,1,
1,1,0.352544,0,0,0,0,0,0,1,
1,1,0.3605463,0,0,0,0,0,0,1,
1,1,0.3688797,0,0,0,0,0,0,1,
1,1,0.3771199,0,0,0,0,0,0,1,
1,1,0.3854532,0,0,0,0,0,0,1,
1,1,0.3937865,0,0,0,0,0,0,1,
1,1,0.4019048,0,0,0,0,0,0,1,
1,1,0.4102382,0,0,0,0,0,0,1,
1,1,0.418049,0,0,0,0,0,0,1,
1,1,0.4263823,0,0,0,0,0,0,1,
1,1,0.4347156,0,0,0,0,0,0,1,
1,1,0.4430348,0,0,0,0,0,0,1,
1,1,0.4509882,0,0,0,0,0,0,1,
1,1,0.4593216,0,0,0,0,0,0,1,
1,1,0.4675528,0,0,0,0,0,0,1,
1,1,0.4758861,0,0,0,0,0,0,1,
