stage,trial,time,position.x,position.y,position.z,rotation.x,rotation.y,rotation.z,rotation.w,event
0,0,0,0,0.4857249,0,0,0,0,1,
1,1,0.01999999,0,-0.5142751,0,0,0,0,1,BallLaunch
1,1,0.02833333,0,-0.5142751,0,0,0,0,1,
1,1,0.03296113,0.122927,-0.003030867,-0.3874059,-0.4398694,0.5642971,-0.5467689,-0.4348879,
1,1,0.04129446,-0.0281235,-0.001148649,-0.5908627,-0.4397754,0.5643104,-0.5468302,-0.4348888,
1,1,0.04962779,-0.3345612,0.002612662,-1.003857,-0.4397795,0.5643746,-0.5467472,-0.4349056,
1,1,0.05796112,-0.5718997,0.005613861,-1.323714,-0.4398145,0.5643789,-0.5467339,-0.4348814,
1,1,0.06629023,-0.7800347,0.008398566,-1.604156,-0.4397719,0.5642421,-0.5469191,-0.434869,
1,1,0.07445792,-0.9832792,0.01082279,-1.878098,-0.4398378,0.5643852,-0.5467488,-0.4348309,
1,1,0.08279125,-1.139689,0.01282657,-2.088827,-0.4397363,0.564313,-0.5468678,-0.4348774,
1,1,0.09038226,-1.275909,0.01444177,-2.27243,-0.4397295,0.5643704,-0.5467899,-0.4349079,
1,1,0.09871559,-1.394239,0.01592235,-2.431875,-0.4396541,0.5643303,-0.5468482,-0.4349628,
1,1,0.1067296,-1.496702,0.01736342,-2.569969,-0.4397753,0.5642911,-0.5468807,-0.4348502,
1,1,0.1150385,-1.585129,0.01850953,-2.689095,-0.4398028,0.5643134,-0.5468845,-0.4347887,
1,1,0.1231953,-1.66983,0.01943251,-2.803207,-0.4396974,0.5643666,-0.5468531,-0.4348659,
1,1,0.1315286,-1.733559,0.020312,-2.889132,-0.4397433,0.5643121,-0.5468852,-0.4348497,
1,1,0.139639,-1.787742,0.02104722,-2.962244,-0.4397243,0.5642018,-0.5469468,-0.4349347,
1,1,0.1476372,-1.833539,0.02151475,-3.023909,-0.4397551,0.5643517,-0.5468256,-0.4348613,
1,1,0.1559706,-1.871936,0.02212038,-3.075667,-0.4398088,0.564285,-0.5468855,-0.4348183,
1,1,0.1642538,-1.90384,0.0224742,-3.118614,-0.4398118,0.56436,-0.5468414,-0.4347733,
1,1,0.1725871,-1.932938,0.02272961,-3.157872,-0.4396753,0.5643128,-0.5468607,-0.4349484,
1,1,0.1800772,-1.953554,0.02310855,-3.185696,-0.4398146,0.5643022,-0.5468483,-0.434837,
1,1,0.1882973,-1.969891,0.02311574,-3.207721,-0.439734,0.5644014,-0.5467374,-0.4349291,
1,1,0.1962855,-1.982518,0.02337199,-3.224654,-0.4396965,0.5643389,-0.5468571,-0.4348976,
1,1,0.2044231,-1.991864,0.0235326,-3.237327,-0.4398347,0.5643667,-0.5467759,-0.434824,
1,1,0.2127564,-1.998438,0.02355861,-3.246093,-0.4396918,0.5643576,-0.5468486,-0.4348889,
1,1,0.2208746,-2.002571,0.0236438,-3.251628,-0.4397342,0.5643822,-0.546849,-0.4348135,
1,1,0.229208,-2.004601,0.02371008,-3.254442,-0.4398239,0.5643663,-0.5468059,-0.4347977,
1,1,0.2373403,-2.004777,0.02364217,-3.254673,-0.4398332,0.5644307,-0.5467339,-0.4347953,
1,1,0.2454457,-2.003333,0.02342553,-3.25278,-0.4396828,0.5644366,-0.5466878,-0.4349977,
