stage,trial,time,position.x,position.y,position.z,rotation.x,rotation.y,rotation.z,rotation.w,event
0,0,0,0,0,0,0,0,0,1,ball-spawner-interval-1.5
0,0,0,0,0,0,0,0,0,1,
0,0,0.001,0,0,0,0,0,0,1,
0,0,0.002,0,0,0,0,0,0,1,
0,0,0.003,0,0,0,0,0,0,1,
0,0,0.004,0,0,0,0,0,0,1,
0,0,0.005,0,0,0,0,0,0,1,
0,0,0.006,0,0,0,0,0,0,1,
0,0,0.007,0,0,0,0,0,0,1,
0,0,0.008,0,0,0,0,0,0,1,
0,0,0.009,0,0,0,0,0,0,1,
0,0,0.01,0,0,0,0,0,0,1,
0,0,0.011,0,0,0,0,0,0,1,
0,0,0.012,0,0,0,0,0,0,1,
0,0,0.013,0,0,0,0,0,0,1,
0,0,0.014,0,0,0,0,0,0,1,
0,0,0.015,0,0,0,0,0,0,1,
0,0,0.016,0,0,0,0,0,0,1,
0,0,0.017,0,0,0,0,0,0,1,
0,0,0.018,0,0,0,0,0,0,1,
0,0,0.019,0,0,0,0,0,0,1,
0,0,0.02,0,0,0,0,0,0,1,
0,0,0.021,0,0,0,0,0,0,1,
0,0,0.022,0,0,0,0,0,0,1,
0,0,0.023,0,0,0,0,0,0,1,
0,0,0.024,0,0,0,0,0,0,1,
0,0,0.025,0,0,0,0,0,0,1,
0,0,0.026,0,0,0,0,0,0,1,
0,0,0.027,0,0,0,0,0,0,1,
0,0,0.028,0,0,0,0,0,0,1,
0,0,0.029,0,0,0,0,0,0,1,
0,0,0.03,0,0,0,0,0,0,1,
0,0,0.031,0,0,0,0,0,0,1,
0,0,0.032,0,0,0,0,0,0,1,
0,0,0.033,0,0,0,0,0,0,1,
0,0,0.034,0,0,0,0,0,0,1,
0,0,0.035,0,0,0,0,0,0,1,
0,0,0.036,0,0,0,0,0,0,1,
0,0,0.037,0,0,0,0,0,0,1,
0,0,0.038,0,0,0,0,0,0,1,
0,0,0.039,0,0,0,0,0,0,1,
0,0,0.04,0,0,0,0,0,0,1,
0,0,0.041,0,0,0,0,0,0,1,
0,0,0.042,0,0,0,0,0,0,1,
0,0,0.043,0,0,0,0,0,0,1,
0,0,0.044,0,0,0,0,0,0,1,
0,0,0.045,0,0,0,0,0,0,1,
0,0,0.046,0,0,0,0,0,0,1,
0,0,0.047,0,0,0,0,0,0,1,
0,0,0.048,0,0,0,0,0,0,1,
0,0,0.049,0,0,0,0,0,0,1,
0,0,0.05,0,0,0,0,0,0,1,
0,0,0.051,0,0,0,0,0,0,1,
0,0,0.052,0,0,0,0,0,0,1,
0,0,0.053,0,0,0,0,0,0,1,
0,0,0.054,0,0,0,0,0,0,1,
0,0,0.055,0,0,0,0,0,0,1,
0,0,0.056,0,0,0,0,0,0,1,
0,0,0.057,0,0,0,0,0,0,1,
0,0,0.058,0,0,0,0,0,0,1,
0,0,0.059,0,0,0,0,0,0,1,
0,0,0.06,0,0,0,0,0,0,1,
0,0,0.061,0,0,0,0,0,0,1,
0,0,0.062,0,0,0,0,0,0,1,
0,0,0.063,0,0,0,0,0,0,1,
0,0,0.064,0,0,0,0,0,0,1,
0,0,0.065,0,0,0,0,0,0,1,
0,0,0.066,0,0,0,0,0,0,1,
0,0,0.067,0,0,0,0,0,0,1,
0,0,0.068,0,0,0,0,0,0,1,
0,0,0.069,0,0,0,0,0,0,1,
0,0,0.07,0,0,0,0,0,0,1,
0,0,0.071,0,0,0,0,0,0,1,
0,0,0.072,0,0,0,0,0,0,1,
0,0,0.073,0,0,0,0,0,0,1,
0,0,0.074,0,0,0,0,0,0,1,
0,0,0.075,0,0,0,0,0,0,1,
0,0,0.076,0,0,0,0,0,0,1,
0,0,0.077,0,0,0,0,0,0,1,
0,0,0.078,0,0,0,0,0,0,1,
0,0,0.079,0,0,0,0,0,0,1,
0,0,0.08,0,0,0,0,0,0,1,
0,0,0.081,0,0,0,0,0,0,1,
0,0,0.082,0,0,0,0,0,0,1,
0,0,0.083,0,0,0,0,0,0,1,
0,0,0.084,0,0,0,0,0,0,1,
0,0,0.085,0,0,0,0,0,0,1,
0,0,0.086,0,0,0,0,0,0,1,
0,0,0.087,0,0,0,0,0,0,1,
0,0,0.088,0,0,0,0,0,0,1,
0,0,0.089,0,0,0,0,0,0,1,
0,0,0.09,0,0,0,0,0,0,1,
0,0,0.091,0,0,0,0,0,0,1,
0,0,0.092,0,0,0,0,0,0,1,
0,0,0.093,0,0,0,0,0,0,1,
0,0,0.094,0,0,0,0,0,0,1,
0,0,0.095,0,0,0,0,0,0,1,
0,0,0.096,0,0,0,0,0,0,1,
0,0,0.097,0,0,0,0,0,0,1,
0,0,0.098,0,0,0,0,0,0,1,
0,0,0.099,0,0,0,0,0,0,1,
0,0,0.1,0,0,0,0,0,0,1,
0,0,0.101,0,0,0,0,0,0,1,
0,0,0.102,0,0,0,0,0,0,1,
0,0,0.103,0,0,0,0,0,0,1,
0,0,0.104,0,0,0,0,0,0,1,
0,0,0.105,0,0,0,0,0,0,1,
0,0,0.106,0,0,0,0,0,0,1,
0,0,0.107,0,0,0,0,0,0,1,
0,0,0.108,0,0,0,0,0,0,1,
0,0,0.109,0,0,0,0,0,0,1,
0,0,0.11,0,0,0,0,0,0,1,
0,0,0.111,0,0,0,0,0,0,1,
0,0,0.112,0,0,0,0,0,0,1,
0,0,0.113,0,0,0,0,0,0,1,
0,0,0.114,0,0,0,0,0,0,1,
0,0,0.115,0,0,0,0,0,0,1,
0,0,0.116,0,0,0,0,0,0,1,
0,0,0.117,0,0,0,0,0,0,1,
0,0,0.118,0,0,0,0,0,0,1,
0,0,0.119,0,0,0,0,0,0,1,
0,0,0.12,0,0,0,0,0,0,1,
0,0,0.121,0,0,0,0,0,0,1,
0,0,0.122,0,0,0,0,0,0,1,
0,0,0.123,0,0,0,0,0,0,1,
0,0,0.124,0,0,0,0,0,0,1,
0,0,0.125,0,0,0,0,0,0,1,
0,0,0.126,0,0,0,0,0,0,1,
0,0,0.127,0,0,0,0,0,0,1,
0,0,0.128,0,0,0,0,0,0,1,
0,0,0.129,0,0,0,0,0,0,1,
0,0,0.13,0,0,0,0,0,0,1,
