stage,trial,time,position.x,position.y,position.z,rotation.x,rotation.y,rotation.z,rotation.w,event
0,0,0,0,0,0,0,0,0,1,
0,1,0,0,0,0,0,0,0,1,TrialStart
0,1,0,0,0,0,0,0,0,1,BallSpawn
0,1,0.001,-9.989659,1.001814,-0.5,-0.04400063,0.7057365,0.04400062,0.7057365,
0,1,0.002,-9.979321,1.003616,-0.5,-0.02634644,0.7066158,0.02634643,0.7066158,
0,1,0.003,-9.968987,1.005409,-0.5,-0.008676911,0.7070535,0.0086769,0.7070535,
0,1,0.004,-9.958654,1.00719,-0.5,0.008996907,0.7070495,-0.008996922,0.7070495,
0,1,0.005,-9.948325,1.008962,-0.5,0.02666397,0.7066039,-0.02666399,0.7066039,
0,1,0.006,-9.937999,1.010722,-0.5,0.04431326,0.7057169,-0.04431328,0.7057169,
0,1,0.007,-9.927675,1.012472,-0.5,0.06193373,0.7043893,-0.06193376,0.7043893,
0,1,0.008,-9.917355,1.014211,-0.5,0.07951442,0.7026219,-0.07951445,0.7026219,
0,1,0.009,-9.907037,1.01594,-0.5,0.09704435,0.7004159,-0.09704438,0.7004159,
0,1,0.01,-9.896721,1.017658,-0.5,0.1145126,0.6977728,-0.1145126,0.6977728,
0,1,0.011,-9.886408,1.019365,-0.5,0.1319082,0.6946943,-0.1319082,0.6946943,
0,1,0.012,-9.876098,1.021062,-0.5,0.1492204,0.6911825,-0.1492204,0.6911825,
0,1,0.013,-9.86579,1.022749,-0.5,0.1664384,0.6872396,-0.1664384,0.6872396,
0,1,0.014,-9.855486,1.024424,-0.5,0.1835514,0.6828681,-0.1835514,0.6828681,
0,1,0.015,-9.845184,1.026089,-0.5,0.2005488,0.6780709,-0.2005488,0.6780709,
0,1,0.016,-9.834886,1.027744,-0.5,0.21742,0.672851,-0.2174201,0.672851,
0,1,0.017,-9.82459,1.029388,-0.5,0.2341546,0.6672118,-0.2341547,0.6672118,
0,1,0.018,-9.814297,1.031022,-0.5,0.2507421,0.6611569,-0.2507422,0.6611569,
0,1,0.019,-9.804006,1.032645,-0.5,0.2671722,0.65469,-0.2671722,0.65469,
0,1,0.02,-9.793717,1.034257,-0.5,0.2834347,0.6478154,-0.2834347,0.6478154,
0,1,0.021,-9.783432,1.035859,-0.5,0.2995194,0.6405374,-0.2995194,0.6405374,
0,1,0.022,-9.773149,1.03745,-0.5,0.3154164,0.6328606,-0.3154164,0.6328606,
0,1,0.023,-9.76287,1.039031,-0.5,0.3311158,0.6247898,-0.3311158,0.6247898,
0,1,0.024,-9.752593,1.040601,-0.5,0.3466078,0.6163303,-0.3466079,0.6163303,
0,1,0.025,-9.742319,1.04216,-0.5,0.361883,0.6074872,-0.3618831,0.6074872,
0,1,0.026,-9.732048,1.043709,-0.5,0.3769317,0.5982662,-0.3769318,0.5982662,
0,1,0.027,-9.72178,1.045248,-0.5,0.3917447,0.5886731,-0.3917448,0.5886731,
0,1,0.028,-9.711514,1.046776,-0.5,0.4063127,0.578714,-0.4063128,0.578714,
0,1,0.029,-9.70125,1.048293,-0.5,0.4206268,0.5683951,-0.4206269,0.5683951,
0,1,0.03,-9.690989,1.0498,-0.5,0.4346781,0.557723,-0.4346781,0.557723,
0,1,0.031,-9.680732,1.051297,-0.5,0.4484578,0.5467043,-0.4484579,0.5467043,
0,1,0.032,-9.670477,1.052783,-0.5,0.4619575,0.5353459,-0.4619576,0.5353459,
0,1,0.033,-9.660225,1.054258,-0.5,0.4751688,0.5236551,-0.4751689,0.5236551,
0,1,0.034,-9.649976,1.055723,-0.5,0.4880835,0.511639,-0.4880836,0.511639,
0,1,0.035,-9.639729,1.057177,-0.5,0.5006937,0.4993053,-0.5006937,0.4993053,
0,1,0.036,-9.629485,1.058621,-0.5,0.5129915,0.4866618,-0.5129916,0.4866618,
0,1,0.037,-9.619244,1.060055,-0.5,0.5249695,0.4737162,-0.5249695,0.4737162,
0,1,0.038,-9.609005,1.061478,-0.5,0.5366201,0.4604768,-0.5366201,0.4604768,
0,1,0.039,-9.598769,1.06289,-0.5,0.5479362,0.4469518,-0.5479363,0.4469518,
0,1,0.04,-9.588536,1.064292,-0.5,0.5589108,0.4331498,-0.5589108,0.4331498,
0,1,0.041,-9.578306,1.065683,-0.5,0.5695372,0.4190792,-0.5695373,0.4190792,
0,1,0.042,-9.568079,1.067064,-0.5,0.5798088,0.4047489,-0.5798089,0.4047489,
0,1,0.043,-9.557854,1.068435,-0.5,0.5897194,0.390168,-0.5897194,0.390168,
0,1,0.044,-9.547631,1.069795,-0.5,0.5992627,0.3753454,-0.5992628,0.3753454,
0,1,0.045,-9.537412,1.071144,-0.5,0.608433,0.3602905,-0.6084331,0.3602905,
0,1,0.046,-9.527195,1.072483,-0.5,0.6172246,0.3450127,-0.6172247,0.3450127,
0,1,0.047,-9.516981,1.073811,-0.5,0.6256321,0.3295214,-0.6256322,0.3295214,
0,1,0.048,-9.50677,1.07513,-0.5,0.6336505,0.3138264,-0.6336506,0.3138264,
0,1,0.049,-9.496561,1.076437,-0.5,0.6412747,0.2979374,-0.6412748,0.2979374,
0,1,0.05,-9.486355,1.077734,-0.5,0.6485001,0.2818644,-0.6485003,0.2818644,
0,1,0.051,-9.476151,1.079021,-0.5,0.6553224,0.2656173,-0.6553225,0.2656173,
0,1,0.052,-9.465951,1.080297,-0.5,0.6617372,0.2492063,-0.6617373,0.2492063,
0,1,0.053,-9.455753,1.081563,-0.5,0.6677408,0.2326417,-0.6677409,0.2326417,
0,1,0.054,-9.445559,1.082818,-0.5,0.6733295,0.2159336,-0.6733297,0.2159336,
0,1,0.055,-9.435366,1.084063,-0.5,0.6784999,0.1990925,-0.6785,0.1990925,
0,1,0.056,-9.425176,1.085297,-0.5,0.6832489,0.1821289,-0.683249,0.1821289,
0,1,0.057,-9.414989,1.086521,-0.5,0.6875735,0.1650534,-0.6875736,0.1650534,
0,1,0.058,-9.404804,1.087735,-0.5,0.6914712,0.1478765,-0.6914713,0.1478765,
0,1,0.059,-9.394623,1.088938,-0.5,0.6949397,0.1306089,-0.6949399,0.1306089,
0,1,0.06,-9.384444,1.090131,-0.5,0.6979769,0.1132614,-0.6979771,0.1132614,
0,1,0.061,-9.374268,1.091313,-0.5,0.700581,0.09584473,-0.7005811,0.09584473,
0,1,0.062,-9.364094,1.092485,-0.5,0.7027504,0.0783697,-0.7027505,0.0783697,
0,1,0.063,-9.353923,1.093646,-0.5,0.7044839,0.06084717,-0.704484,0.06084717,
0,1,0.064,-9.343755,1.094797,-0.5,0.7057805,0.043288,-0.7057806,0.043288,
0,1,0.065,-9.33359,1.095938,-0.5,0.7066394,0.02570309,-0.7066395,0.02570309,
0,1,0.066,-9.323426,1.097068,-0.5,0.7070603,0.008103341,-0.7070605,0.008103343,
0,1,0.067,-9.313266,1.098188,-0.5,0.7070429,-0.009500336,-0.7070431,-0.009500334,
0,1,0.068,-9.303108,1.099297,-0.5,0.7065874,-0.02709703,-0.7065875,-0.02709702,
0,1,0.069,-9.292953,1.100396,-0.5,0.705694,-0.04467583,-0.7056941,-0.04467582,
